entity_type	entity_id	evidence_count
passage	psg-wikipedia-roman-empire-provinces	56
passage	psg-eusebius-he-6-19	46
passage	psg-eusebius-he-6-20-43	34
passage	psg-rufinus-he-1-9	28
passage	psg-acts-1-13-14	26
passage	psg-eusebius-he-6-43	26
passage	psg-irenaeus-ah-3-1-1	25
passage	psg-wikipedia-early-church-geography	25
passage	psg-irenaeus-ah-3-3-4	24
passage	psg-rev-1-11	23
passage	psg-mark-1-16-20	22
passage	psg-philostorgius-he-3-4	22
passage	psg-eusebius-he-5-24	21
passage	psg-acts-20-4	21
passage	psg-acts-13-4-12	19
passage	psg-acts-15-1-29	18
passage	psg-athanasius-apol-const-29-31	17
passage	psg-irenaeus-ah-1-27-1-2	17
passage	psg-ignatius-smyrn-1	16
passage	psg-acts-11-25-26	16
passage	psg-acts-13-1	16
passage	psg-aphrahat-dem-1	16
passage	psg-matt-10-1-4	16
passage	psg-eusebius-he-5-10-1-2	15
passage	psg-wikipedia-church-of-east-spread	15
passage	psg-1pet-1-1	15
passage	psg-eusebius-he-6-3	14
passage	psg-john-19-38-42	14
passage	psg-cyprian-lapsis-15-16	14
passage	psg-justin-apol-13	13
passage	psg-gregory-address-6	13
passage	psg-phlm-23-24	13
passage	psg-eusebius-he-3-36	13
passage	psg-acts-18-24-28	12
passage	psg-eusebius-vita-const-3-6	12
passage	psg-hippolytus-ref-9-7	12
passage	psg-ephrem-comm-diat-1	12
passage	psg-cyprian-ep64-2	11
passage	psg-acts-16-11-15	11
passage	psg-irenaeus-ah-1-11-1	11
passage	psg-1clement-5-1-7	10
passage	psg-rom-16-14	10
passage	psg-rufinus-he-1-10	10
passage	psg-irenaeus-ah-1-24-1-2	10
passage	psg-irenaeus-ah-1-26-1	10
passage	psg-vita-const-letter-constantius	10
passage	psg-origen-deprinc-pref-4	10
passage	psg-acts-28-1-14	10
passage	psg-john-1-43-49	10
source	src-acts	381
source	src-eusebius-ecclesiastical-history	298
source	src-irenaeus-against-heresies	150
source	src-john	63
source	src-mark	59
source	src-romans	56
source	src-wikipedia-roman-empire	56
