passage_id	source_id	excerpt_form	source_tier
psg-1clement-24-26	src-1clement	verbatim	tier_1_primary
psg-1clement-40-41	src-1clement	verbatim	tier_1_primary
psg-1clement-42	src-1clement	verbatim	tier_1_primary
psg-1clement-44	src-1clement	verbatim	tier_1_primary
psg-1clement-5-1-7	src-1clement	paraphrase	tier_1_primary
psg-1clement-addressed-corinth	src-1clement	verbatim	tier_1_primary
psg-1cor-1-2	src-1cor	paraphrase	tier_1_primary
psg-1cor-11-23-26	src-1cor	paraphrase	tier_1_primary
psg-1cor-15-3-8	src-1cor	paraphrase	tier_1_primary
psg-1cor-16-15-18	src-1cor	paraphrase	tier_1_primary
psg-1cor-16-19	src-1cor	paraphrase	tier_1_primary
psg-1cor-16-8	src-1cor	paraphrase	tier_1_primary
psg-1cor-3-5-6	src-1cor	verbatim	tier_1_primary
psg-1enoch-1-9	src-1enoch	paraphrase	tier_1_primary
psg-1john-5-1	src-1john	paraphrase	tier_1_primary
psg-1pet-1-1	src-1pet	paraphrase	tier_1_primary
psg-1pet-1-3	src-1pet	paraphrase	tier_1_primary
psg-1pet-3-21	src-1pet	verbatim	tier_1_primary
psg-1pet-5-13	src-1pet	verbatim	tier_1_primary
psg-1thess-1-1	src-1thess	paraphrase	tier_1_primary
psg-1thess-4-14	src-1thess	paraphrase	tier_1_primary
psg-1tim-1-2	src-1tim	verbatim	tier_1_primary
psg-1tim-1-3	src-1tim	paraphrase	tier_1_primary
psg-2cor-1-1	src-2cor	paraphrase	tier_1_primary
psg-2cor-4-14	src-2cor	paraphrase	tier_1_primary
psg-2cor-8-23	src-2cor	paraphrase	tier_1_primary
psg-2john-1-7	src-2john	paraphrase	tier_1_primary
psg-2pet-3-7	src-2pet	paraphrase	tier_1_primary
psg-2thess-1-1	src-2thess	paraphrase	tier_1_primary
psg-2tim-1-16-18	src-2tim	paraphrase	tier_1_primary
psg-2tim-2-8	src-2tim	paraphrase	tier_1_primary
psg-2tim-4-10-12	src-2tim	paraphrase	tier_1_primary
psg-2tim-4-11	src-2tim	paraphrase	tier_1_primary
psg-2tim-4-13	src-2tim	paraphrase	tier_1_primary
psg-2tim-4-19	src-2tim	paraphrase	tier_1_primary
psg-2tim-4-20	src-2tim	paraphrase	tier_1_primary
psg-3john-1	src-3john	verbatim	tier_1_primary
psg-acts-1-13-14	src-acts	paraphrase	tier_1_primary
psg-acts-1-21-26	src-acts	paraphrase	tier_1_primary
psg-acts-1-9-11	src-acts	paraphrase	tier_1_primary
psg-acts-10-1-48	src-acts	paraphrase	tier_1_primary
psg-acts-11-25-26	src-acts	paraphrase	tier_1_primary
psg-acts-12-1-2	src-acts	paraphrase	tier_1_primary
psg-acts-12-1-3	src-acts	paraphrase	tier_1_primary
psg-acts-12-25	src-acts	paraphrase	tier_1_primary
psg-acts-13-1	src-acts	paraphrase	tier_1_primary
psg-acts-13-4-12	src-acts	paraphrase	tier_1_primary
psg-acts-15-1-29	src-acts	paraphrase	tier_1_primary
psg-acts-15-22-29	src-acts	paraphrase	tier_1_primary
psg-acts-15-40	src-acts	paraphrase	tier_1_primary
psg-acts-16-1-3	src-acts	paraphrase	tier_1_primary
psg-acts-16-11-15	src-acts	paraphrase	tier_1_primary
psg-acts-16-3	src-acts	paraphrase	tier_1_primary
psg-acts-16-6	src-acts	verbatim	tier_1_primary
psg-acts-17-1-9	src-acts	paraphrase	tier_1_primary
