batch_id	queue	subject_ids	claim_count	status	claims_approved	claims_needs_revision	claims_rejected	claims_superseded	claims_reopened	claims_fixed	evidence_fixed	evidence_deleted	passages_fixed	sources_fixed	blocking_issue_count	advisory_issue_count	top_issue_codes	started_at	completed_at
batch-001	0A	psg-wikipedia-roman-empire-provinces(56)	20	done											0	2	T1_TERTIARY_GENERIC	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-002	0A	psg-eusebius-he-6-19(46)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-003	0A	psg-eusebius-he-6-20-43(34)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-004	0A	psg-rufinus-he-1-9(28)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-005	0A	psg-acts-1-13-14(26)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-006	0A	psg-eusebius-he-6-43(26)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-007	0A	psg-irenaeus-ah-3-1-1(25)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-008	0A	psg-wikipedia-early-church-geography(25)	20	done											0	2	T1_TERTIARY_GENERIC	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-009	0A	psg-irenaeus-ah-3-3-4(24)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-010	0A	psg-rev-1-11(23)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-011	0A	psg-mark-1-16-20(22)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-012	0A	psg-philostorgius-he-3-4(22)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-013	0A	psg-eusebius-he-5-24(21)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-014	0A	psg-acts-20-4(21)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-015	0A	psg-acts-13-4-12(19)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-016	0A	psg-acts-15-1-29(18)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-017	0A	psg-athanasius-apol-const-29-31(17)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-018	0A	psg-irenaeus-ah-1-27-1-2(17)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-019	0A	psg-ignatius-smyrn-1(16)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-020	0A	psg-acts-11-25-26(16)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-021	0A	psg-acts-13-1(16)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-022	0A	psg-aphrahat-dem-1(16)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-023	0A	psg-matt-10-1-4(16)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-024	0A	psg-eusebius-he-5-10-1-2(15)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-025	0A	psg-wikipedia-church-of-east-spread(15)	20	done											0	2	T1_TERTIARY_GENERIC	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-026	0A	psg-1pet-1-1(15)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-027	0A	psg-eusebius-he-6-3(14)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-028	0A	psg-john-19-38-42(14)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-029	0A	psg-cyprian-lapsis-15-16(14)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-030	0A	psg-justin-apol-13(13)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-031	0A	psg-gregory-address-6(13)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-032	0A	psg-phlm-23-24(13)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-033	0A	psg-eusebius-he-3-36(13)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-034	0A	psg-acts-18-24-28(12)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-035	0A	psg-eusebius-vita-const-3-6(12)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-036	0A	psg-hippolytus-ref-9-7(12)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-037	0A	psg-ephrem-comm-diat-1(12), psg-cyprian-ep64-2(11)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-038	0A	psg-acts-16-11-15(11), psg-irenaeus-ah-1-11-1(11)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-039	0A	psg-1clement-5-1-7(10), psg-rom-16-14(10)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-040	0A	psg-rufinus-he-1-10(10), psg-irenaeus-ah-1-24-1-2(10)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-041	0A	psg-irenaeus-ah-1-26-1(10), psg-vita-const-letter-constantius(10)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-042	0A	psg-origen-deprinc-pref-4(10), psg-acts-28-1-14(10)	20	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-043	0A	psg-john-1-43-49(10)	15	done											0	0	PASSAGE_VERIFIED_OK	2026-03-16T23:17:48Z	2026-03-16T23:17:48Z
batch-044	0B	structural purge	20	pending															
batch-045	0B	structural purge	20	pending															
batch-046	0B	structural purge	20	pending															
batch-047	0B	structural purge	7	pending															
batch-048	1	paul	20	pending															
batch-049	1	paul	18	pending															
batch-050	1	paul	8	pending															
batch-051	1	paul	20	pending															
batch-052	1	roman-empire	20	pending															
batch-053	1	roman-empire	20	pending															
batch-054	1	roman-empire	18	pending															
batch-055	1	jesus-of-nazareth	18	pending															
batch-056	1	jesus-of-nazareth	14	pending															
batch-057	1	disciples-of-jesus	20	pending															
batch-058	1	disciples-of-jesus	11	pending															
batch-059	1	epistles-of-ignatius	6	pending															
batch-060	1	epistles-of-ignatius	20	pending															
batch-061	1	epistles-of-ignatius	1	pending															
batch-062	1	against-heresies	2	pending															
batch-063	1	against-heresies	20	pending															
batch-064	1	against-heresies	5	pending															
batch-065	1	demonstrations-of-aphrahat	1	pending															
batch-066	1	demonstrations-of-aphrahat	20	pending															
batch-067	1	demonstrations-of-aphrahat	6	pending															
batch-068	1	apostolic-tradition	24	pending															
batch-069	1	simon-peter	22	pending															
batch-070	1	de-principiis	21	pending															
batch-071	1	barnabas	20	pending															
batch-072	1	didascalia-apostolorum	19	pending															
batch-073	1	de-unitate-ecclesiae	19	pending															
batch-074	1	de-dominica-oratione	19	pending															
batch-075	1	athanasius-of-alexandria	19	pending															
batch-076	1	first-epistle-of-clement	18	pending															
batch-077	1	first-apology-of-justin	18	pending															
batch-078	1	contra-celsum	18	pending															
batch-079	1	de-lapsis	18	pending															
batch-080	1	epistle-of-polycarp-to-philippians	17	pending															
batch-081	1	homilies-on-leviticus-origen	17	pending															
batch-082	1	john-son-of-zebedee	16	pending															
batch-083	1	acts-of-thomas	16	pending															
