city_id	city_label	city_ancient_primary	city_modern_primary	country_modern_primary	lat	lon	location_precision	christianity_start_year	church_planted_year_scholarly	church_planted_year_earliest_claim	church_planted_by	apostolic_origin_thread
legio-megiddo	Legio / Kfar Othnay	Legio	Tel Megiddo area	Israel	32.5836	35.1810	approx_city	200				
aksum-axum-axum	Aksum (Axum)		Axum	Ethiopia	14.12109	38.72337	exact	340	0340		Frumentius (trad.)	Unknown/Composite
alexandria-alexandria	Alexandria		Alexandria	Egypt	31.20010	29.91870	exact	42	0042	0042	Mark the Evangelist (trad.)	Unknown/Composite
amida-diyarbak-r	Amida		Diyarbakır	Türkiye	37.91440	40.23060	approx_city	150	0150		unknown	Syriac/Apostolic (trad.)
ancyra-ankara	Ancyra		Ankara	Türkiye	39.91670	32.86670	approx_city	48	0048	0048	Paul (passing through)	Pauline
antinoopolis-sheikh-ibada	Antinoopolis		Sheikh Ibada	Egypt	27.81270	30.87890	approx_city	200	0200		unknown	Coptic/Apostolic (trad.)
antioch-antakya	Antioch		Antakya	Türkiye	36.20655	36.15722	exact	40	0040	0040	Barnabas; Paul	Pauline/Petrine
apamea-afamia	Apamea		Afamia	Syria	35.41670	36.40830	approx_city	150	0150		unknown	Unknown/Composite
aquileia-aquileia	Aquileia		Aquileia	Italy	45.76940	13.36930	approx_city	160	0160	0050	Mark (trad.)/Hermagoras (trad.)	Petrine/Johannine
arelate-arles	Arelate		Arles	France	43.67670	4.62780	approx_city	200	0200		unknown	Unknown/Composite
ascalon-ashkelon	Ascalon		Ashkelon	Israel	31.66880	34.57420	approx_city	60	0060	0040	Philip the Evangelist (nearby region; Acts 8:39-40)	Jerusalem/Apostolic
athens-athens	Athens		Athens	Greece	37.97550	23.73480	exact	50	0050	0050	Paul; Dionysius the Areopagite	Pauline
attalia-antalya	Attalia		Antalya	Türkiye	36.88410	30.70560	approx_city	47	0047	0047	Paul; Barnabas	Pauline
augusta-treverorum-trier	Augusta Treverorum		Trier	Germany	49.75660	6.64160	approx_city	200	0200		unknown	Unknown/Composite
augusta-vindelicorum-augsburg	Augusta Vindelicorum		Augsburg	Germany	48.37140	10.89820	approx_city	250	0250		unknown	Unknown/Composite
azotus-ashdod	Azotus		Ashdod	Israel	31.81540	34.64980	approx_city	36	0036	0036	Philip the Evangelist	Jerusalem/Apostolic
barcinonae-barcelona	Barcinonae		Barcelona	Spain	41.38510	2.17340	approx_city	200	0200		unknown	Unknown/Composite
beroia-veria	Beroia		Veria	Greece	40.52280	22.20130	approx_city	50	0050	0050	Paul; Silas	Pauline
berytus-beirut	Berytus		Beirut	Lebanon	33.88690	35.51310	approx_city	100	0100		unknown	Unknown/Composite
bethany-al-eizariya	Bethany		Al-Eizariya	Palestinian Territories	31.77690	35.26360	approx_city	28	0028	0028	Jesus	Galilean/Apostolic
bethlehem-bethlehem	Bethlehem		Bethlehem	Palestinian Territories	31.70570	35.20240	approx_city	1	0001	0001	Jesus (born here)	Galilean/Apostolic
bononia-bologna	Bononia		Bologna	Italy	44.49490	11.34260	approx_city	200	0200		unknown	Unknown/Composite
bostra-bosra	Bostra		Bosra	Syria	32.51670	36.48330	approx_city	150	0150		unknown	Unknown/Composite
