edge_id	from_type	from_id	to_type	to_id	relation_kind	directness	rule_id	year_start	year_end	certainty	supporting_claim_ids	path_text
edge-acae3eaa7595107b	group	roman-empire	place	sardinia	group_place	direct	controls_place	-238	400	probable	clm-rome-controls-sardinia	group:roman-empire → controls_place → place:sardinia
edge-fabab37436c7c977	group	roman-empire	place	malta	group_place	direct	controls_place	-218	400	probable	clm-rome-controls-malta	group:roman-empire → controls_place → place:malta
edge-0be2e5568a6b7253	group	samaritans	place	samaria	group_place	direct	group_present_at	-200	100	attested	clm-group-samaritans-samaria	group:samaritans → group_present_at → place:samaria
edge-0f7f48d968e1042f	group	roman-empire	place	thessalonica	group_place	direct	controls_place	-168	400	probable	clm-rome-controls-thessalonica	group:roman-empire → controls_place → place:thessalonica
edge-813fbffe134427ff	group	roman-empire	place	berea	group_place	direct	controls_place	-168	400	probable	clm-rome-controls-berea	group:roman-empire → controls_place → place:berea
edge-cd488b667aad89bb	group	essenes	place	qumran	group_place	direct	group_present_at	-150	68	probable	clm-essenes-at-qumran	group:essenes → group_present_at → place:qumran
edge-e0836cc06c041755	group	qumran-community	place	qumran	group_place	direct	group_present_at	-150	68	probable	clm-group-qumran-community-qumran	group:qumran-community → group_present_at → place:qumran
edge-746324c235dff499	group	essenes	place	judea	group_place	direct	group_present_at	-150	70	probable	clm-group-essenes-judea	group:essenes → group_present_at → place:judea
edge-1dea1d21ddc67e64	group	roman-empire	place	carthage	group_place	direct	controls_place	-146	400	probable	clm-rome-controls-carthage	group:roman-empire → controls_place → place:carthage
edge-a716d3f06c1f1fdf	group	roman-empire	place	achaia	group_place	direct	controls_place	-146	400	probable	clm-rome-controls-achaia	group:roman-empire → controls_place → place:achaia
edge-30e453529049ba0b	group	roman-empire	place	laodicea	group_place	direct	controls_place	-133	400	probable	clm-rome-controls-laodicea	group:roman-empire → controls_place → place:laodicea
edge-5de2481a62cc0bca	group	roman-empire	place	asia	group_place	direct	controls_place	-133	400	probable	clm-rome-controls-asia	group:roman-empire → controls_place → place:asia
edge-85956cc78f63dc03	group	roman-empire	place	ephesus	group_place	direct	controls_place	-133	400	probable	clm-rome-controls-ephesus	group:roman-empire → controls_place → place:ephesus
edge-97aebccda0225658	group	roman-empire	place	pergamum	group_place	direct	controls_place	-133	400	probable	clm-rome-controls-pergamum	group:roman-empire → controls_place → place:pergamum
