place_id	decade	presence_status	group_presence_summary	dominant_polity_group_id	supporting_claim_count	derivation_hash
achaia	-150	unknown	roman-empire	roman-empire	1	state-4678d73c05b489aa
achaia	-140	unknown	roman-empire	roman-empire	1	state-43eeb0317abfec62
achaia	-130	unknown	roman-empire	roman-empire	1	state-b770d34df8fbd743
achaia	-120	unknown	roman-empire	roman-empire	1	state-61358af5ddd3cf93
achaia	-110	unknown	roman-empire	roman-empire	1	state-0eea16da39372cde
achaia	-100	unknown	roman-empire	roman-empire	1	state-c2f159bcc5c0aac7
achaia	-90	unknown	roman-empire	roman-empire	1	state-242f3f7fa1771b51
achaia	-80	unknown	roman-empire	roman-empire	1	state-453c0d96ab224a9c
achaia	-70	unknown	roman-empire	roman-empire	1	state-57981a32de35fa68
achaia	-60	unknown	roman-empire	roman-empire	1	state-a5d07e6828c7b78f
achaia	-50	unknown	roman-empire	roman-empire	1	state-967fcae1a22d731f
achaia	-40	unknown	roman-empire	roman-empire	1	state-61b3d80be98ce205
achaia	-30	unknown	roman-empire	roman-empire	1	state-35a4dc5223cfbff8
achaia	-20	unknown	roman-empire	roman-empire	1	state-e03840c15541adab
achaia	-10	unknown	roman-empire	roman-empire	1	state-c5cc87e911261202
achaia	0	unknown	roman-empire	roman-empire	1	state-a4df26c3c38c9277
achaia	10	unknown	roman-empire	roman-empire	1	state-714a2e64900a47f6
achaia	20	unknown	roman-empire	roman-empire	1	state-c968382dbf28bccb
achaia	30	unknown	roman-empire	roman-empire	1	state-86f8106c276b2b06
achaia	40	unknown	roman-empire	roman-empire	1	state-2e439b796ca08e58
achaia	50	attested	disciples-of-jesus; roman-empire	roman-empire	4	state-b3d4bcc392fe5030
achaia	60	attested	roman-empire	roman-empire	2	state-1cdd6f21efd74a9e
achaia	70	attested	roman-empire	roman-empire	2	state-0b036b9408608775
achaia	80	attested	roman-empire	roman-empire	2	state-d2a347c159ace54e
achaia	90	attested	roman-empire	roman-empire	2	state-ea9a9ec0607c6ea1
achaia	100	attested	roman-empire	roman-empire	2	state-c4244677743c281e
achaia	110	attested	roman-empire	roman-empire	2	state-1bbee680966767f2
achaia	120	attested	roman-empire	roman-empire	2	state-78263be03f3a0c59
achaia	130	attested	roman-empire	roman-empire	2	state-f58bf086c8e4f6d6
achaia	140	attested	roman-empire	roman-empire	2	state-5d89403e7aa990a6
achaia	150	attested	roman-empire	roman-empire	2	state-45360ac64701e20d
achaia	160	attested	roman-empire	roman-empire	2	state-efe5c01b71714750
achaia	170	attested	roman-empire	roman-empire	2	state-bbe2a61d43b47f95
achaia	180	attested	roman-empire	roman-empire	2	state-45d695918d4aeb02
achaia	190	attested	roman-empire	roman-empire	2	state-5e7382327f239a06
achaia	200	attested	roman-empire	roman-empire	2	state-105984893256f0ea
achaia	210	unknown	roman-empire	roman-empire	1	state-337d4259f1cf1f20
achaia	220	unknown	roman-empire	roman-empire	1	state-d944573371faa628
achaia	230	unknown	roman-empire	roman-empire	1	state-b7b37872a14ba721
achaia	240	unknown	roman-empire	roman-empire	1	state-19c697ba6a312fe6
achaia	250	unknown	roman-empire	roman-empire	1	state-cc81a4c9419dabb7
achaia	260	unknown	roman-empire	roman-empire	1	state-2acf8c79b51ebb42
achaia	270	unknown	roman-empire	roman-empire	1	state-7b58261a3ae805a0
achaia	280	unknown	roman-empire	roman-empire	1	state-46b385ba6a96b1bd
achaia	290	unknown	roman-empire	roman-empire	1	state-3dd037ba2d0f5109
achaia	300	unknown	roman-empire	roman-empire	1	state-83a05aa152c2d2a2
achaia	310	unknown	roman-empire	roman-empire	1	state-7d26554ca09f571d
achaia	320	unknown	roman-empire	roman-empire	1	state-5022a601dd618f04
achaia	330	unknown	roman-empire	roman-empire	1	state-5fbd50bd160fa028
achaia	340	unknown	roman-empire	roman-empire	1	state-054db8679069a5cb
achaia	350	unknown	roman-empire	roman-empire	1	state-2c63e181ab0dfed7
achaia	360	unknown	roman-empire	roman-empire	1	state-88ffe7e744c8894f
achaia	370	unknown	roman-empire	roman-empire	1	state-41d535b546492360
achaia	380	unknown	roman-empire	roman-empire	1	state-e4eaf10cc8ea066b
achaia	390	unknown	roman-empire	roman-empire	1	state-0690f2cea3c97bd4
achaia	400	unknown	roman-empire	roman-empire	1	state-fbd7dd08f5ddfd65
aksum	330	attested	aksumite-church		2	state-b9596d0924a19eeb
aksum	340	attested	aksumite-church	aksumite-church	3	state-079e4aff33d0ee06
aksum	350	attested	aksumite-church	aksumite-church	3	state-a3d67f90541978e7
aksum	360	attested	aksumite-church	aksumite-church	3	state-e5cbedd880c8c1f3
aksum	370	attested	aksumite-church	aksumite-church	3	state-99c028a116297604
aksum	380	attested	aksumite-church	aksumite-church	3	state-17fa69f3898be4f9
alexandria	-30	unknown	roman-empire	roman-empire	1	state-bf3b722e9716ac78
alexandria	-20	unknown	roman-empire	roman-empire	1	state-d6d49d7acd9b64b1
alexandria	-10	unknown	roman-empire	roman-empire	1	state-9b84b37e4d738966
alexandria	0	unknown	roman-empire	roman-empire	1	state-a2d115eb26d41a1a
alexandria	10	unknown	roman-empire	roman-empire	1	state-a95c5cb3badbe35b
alexandria	20	unknown	roman-empire	roman-empire	1	state-c5e591ed9009213c
alexandria	30	unknown	roman-empire	roman-empire	1	state-5a8714e2be08ebb5
alexandria	40	unknown	roman-empire	roman-empire	1	state-49c74b854ff602a7
alexandria	50	unknown	roman-empire	roman-empire	1	state-afbd531895b597e6
alexandria	60	unknown	roman-empire	roman-empire	1	state-c4f05af7e29102cc
alexandria	70	attested	alexandrian-church; roman-empire	roman-empire	3	state-960045c37136a055
alexandria	80	attested	alexandrian-church; roman-empire	roman-empire	3	state-dccc9f769a0e098e
alexandria	90	attested	alexandrian-church; roman-empire	roman-empire	3	state-e734ef3a35893651
alexandria	100	attested	alexandrian-church; roman-empire	roman-empire	3	state-cf9c2fdbf30f5edb
alexandria	110	attested	alexandrian-church; roman-empire	roman-empire	3	state-c6d72137c92e0202
alexandria	120	attested	alexandrian-church; roman-empire	roman-empire	3	state-0605effb97868fa9
alexandria	130	attested	alexandrian-church; roman-empire	roman-empire	3	state-a1dfae025e62c1cb
alexandria	140	attested	alexandrian-church; roman-empire; valentinians	roman-empire	4	state-818294ffb00050fc
alexandria	150	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-43ba286ae9867fab
alexandria	160	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-2cbe8112b011cbd6
alexandria	170	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-d205a4a8a6b34ae8
alexandria	180	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-d49e6d3bf53952bd
alexandria	190	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-dba334f7812bd349
alexandria	200	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-4169bc754518a996
alexandria	210	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-5c6216310a7ca152
alexandria	220	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-e39e78206439b156
alexandria	230	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-b78abeab75667e85
alexandria	240	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-e92bf333558b2d8c
alexandria	250	attested	alexandrian-church; marcionites; roman-empire; valentinians	roman-empire	5	state-697355a5b46f05f7
alexandria	260	attested	alexandrian-church; marcionites; novatianists; roman-empire	roman-empire	5	state-68463b0beedcdbc5
alexandria	270	attested	alexandrian-church; marcionites; novatianists; roman-empire	roman-empire	5	state-13f114013cb54377
alexandria	280	attested	alexandrian-church; marcionites; novatianists; roman-empire	roman-empire	5	state-7e0cb793d7f63f0f
alexandria	290	attested	alexandrian-church; marcionites; novatianists; roman-empire	roman-empire	5	state-0f48c43a172ef24e
alexandria	300	attested	alexandrian-church; marcionites; novatianists; roman-empire	roman-empire	5	state-bec13bbcf5c3625d
alexandria	310	attested	alexandrian-church; novatianists; roman-empire	roman-empire	4	state-b7bf90fd442c8d57
alexandria	320	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-5f2cb4acdfbe79eb
alexandria	330	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-c48a4a714626a78d
alexandria	340	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-b3b98b8020653c69
alexandria	350	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-cc7eb26a3c50b240
alexandria	360	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-9fdd38df590c56b3
alexandria	370	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-d33e4ffc5b29b33b
alexandria	380	attested	aksumite-church; alexandrian-church; novatianists; roman-empire	roman-empire	5	state-f18b4ec35cdca041
alexandria	390	attested	alexandrian-church; novatianists; roman-empire	roman-empire	4	state-695e7d54243602e1
alexandria	400	attested	alexandrian-church; novatianists; roman-empire	roman-empire	4	state-cd87ee09e356896e
antioch	-70	unknown	roman-empire	roman-empire	1	state-26d6ebc6d36af5cd
antioch	-60	unknown	roman-empire	roman-empire	1	state-78f735dc4a4fbde6
antioch	-50	unknown	roman-empire	roman-empire	1	state-ba25965f9bfac712
antioch	-40	unknown	roman-empire	roman-empire	1	state-38d9ae009addef9f
antioch	-30	unknown	roman-empire	roman-empire	1	state-b7deb1179faf7dd0
antioch	-20	unknown	roman-empire	roman-empire	1	state-a02111ead7fcc58d
antioch	-10	unknown	roman-empire	roman-empire	1	state-3999284e4ca7ca90
antioch	0	unknown	roman-empire	roman-empire	1	state-f51971139cda11fd
antioch	10	unknown	roman-empire	roman-empire	1	state-3625956e6d01c3a2
antioch	20	unknown	roman-empire	roman-empire	1	state-8dc377d19cc8ceb5
antioch	30	unknown	roman-empire	roman-empire	1	state-ad29eef77abeec66
antioch	40	attested	antioch-church; disciples-of-jesus; roman-empire	roman-empire	4	state-edb6b9a2e13722c6
antioch	50	attested	antioch-church; disciples-of-jesus; roman-empire	roman-empire	4	state-071e9c1147cdf07c
