proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
disciples-are-called-to-follow-jesus	galilee	27	30	affirms	1	0	edge-cfcb788b810cefc3	drv-67a50822290b2e48
disciples-are-called-to-follow-jesus	nazareth	27	30	affirms	1	0	edge-701dd25d2390c5c2	drv-9da1a0e590f5586d
jesus-teaches-with-unique-authority	galilee	27	30	affirms	1	0	edge-2e330766b4b7388c	drv-8fb29ca9f4609f3e
jesus-teaches-with-unique-authority	nazareth	27	30	affirms	1	0	edge-3300a901a61948bf	drv-043acb7eb43665a1
kingdom-of-god-has-drawn-near	galilee	27	30	affirms	1	0	edge-a9edfeb5f47365fe	drv-241a7818b4ce18ec
kingdom-of-god-has-drawn-near	nazareth	27	30	affirms	1	0	edge-39ae4dc3b5eae396	drv-e6b49fbc6e4d2489
disciples-are-called-to-follow-jesus	judea	30	30	affirms	1	0	edge-1e0edf5fd0892bbb	drv-83fbc7ee4d5ba6aa
jesus-teaches-with-unique-authority	judea	30	30	affirms	1	0	edge-27fd334cf15e6b84	drv-731963c422d89ecc
kingdom-of-god-has-drawn-near	judea	30	30	affirms	1	0	edge-1d9562f5ed838bf3	drv-6249a7b19d1cfed7
apostolic-succession-transmits-faith	samaria	30	65	opposes	0	1	edge-760da72b00d5be4b	drv-ea10d1fbb596b91b
christ-truly-became-flesh	samaria	30	65	opposes	0	1	edge-0561c55077afc475	drv-c8067146de5c3c5e
logos-is-pre-existent-son-of-god	samaria	30	65	opposes	0	1	edge-39e7a3347125303c	drv-bfc32f0374850b2b
old-testament-is-authoritative-scripture	samaria	30	65	opposes	0	1	edge-ca799240b94eb2b8	drv-b1d9f9b76f46c105
gentile-believers-need-not-be-circumcised	antioch	49	49	affirms	1	0	edge-436af4381cc80479	drv-f3b38584cbf72c80
gentile-believers-need-not-be-circumcised	caesarea	49	49	affirms	1	0	edge-2b14e86c6b3c7ea3	drv-d88d398badfe7b9d
gentile-believers-need-not-be-circumcised	galatia	49	49	affirms	1	0	edge-13a78c486df60321	drv-8b55870a5c299c51
gentile-believers-need-not-be-circumcised	galilee	49	49	affirms	1	0	edge-93c2184a32ff1222	drv-28b705f9d0e27baa
gentile-believers-need-not-be-circumcised	jerusalem	49	49	affirms	2	0	edge-910418bb479e46fc|edge-caaf49f5d5a83c18	drv-505e4e7650d99ba2
gentile-believers-need-not-be-circumcised	joppa	49	49	affirms	1	0	edge-bedc570fb4cb9578	drv-750dbe3443f912e7
gentile-believers-need-not-be-circumcised	lydda	49	49	affirms	1	0	edge-f150d8126fba5fd3	drv-d5482922fbc2692c
gentile-believers-need-not-be-circumcised	rome	49	49	affirms	1	0	edge-669352f172c22300	drv-56a0345ea7bf7747
gentile-believers-need-not-be-circumcised	samaria	49	49	affirms	1	0	edge-bfe20f6f7df90802	drv-b79058cb3b5d968d
jesus-is-proclaimed-as-raised	thessalonica	50	50	affirms	1	0	edge-a9e1f5650b0ea95e	drv-38dc62fa70a35ebf
bartholomew-preached-in-india	galilee	50	70	affirms	1	0	edge-8488af732d8190db	drv-26a489b540b5b88e
bartholomew-preached-in-india	india-malabar	50	70	affirms	1	0	edge-82b8e65c1bc28a97	drv-80a1de3ab590a215
final-judgment-is-coming	thessalonica	51	51	affirms	1	0	edge-059313827be2e6ff	drv-bda000b6589ca127
thomas-preached-in-india	galilee	52	72	affirms	1	0	edge-11be17b0d9bfb3ca	drv-ea625f17cdcdfbbc
thomas-preached-in-india	india-malabar	52	72	affirms	1	0	edge-19e03ea63fd23c7f	drv-dc66842f1af774e5
thomas-preached-in-india	jerusalem	52	72	affirms	1	0	edge-f1aa15ec0ab8ec4e	drv-83096640d2f7f8f1
jesus-is-proclaimed-as-raised	corinth	54	54	affirms	1	0	edge-9cfcde7f9896b2e9	drv-64cbc91014dc23ae
jesus-is-proclaimed-as-raised	ephesus	54	54	affirms	1	0	edge-903d593ddfd89edc	drv-7fb76bfe93d76f87
jesus-is-proclaimed-as-raised	achaia	55	56	affirms	1	0	edge-a5fce0b4a0bb270b	drv-780d822088952cb6
jesus-is-proclaimed-as-raised	corinth	55	56	affirms	1	0	edge-5bf9c9074ebb48ef	drv-2d488b6f3018e866
jesus-is-proclaimed-as-raised	rome	57	57	affirms	1	0	edge-9507df7f2311ff20	drv-85774131af32140c
jesus-is-proclaimed-as-raised	colossae	60	60	affirms	1	0	edge-a09edd8bd97ea989	drv-f3a543b0d597619e
jesus-is-proclaimed-as-raised	ephesus	60	60	affirms	1	0	edge-f9f1207c5d6b6410	drv-a46efec102d3e5db
jesus-is-proclaimed-as-raised	philippi	61	61	affirms	1	0	edge-9f0798cf197cf83b	drv-bbc6be74e51e6572
baptism-effects-regeneration	asia	62	64	affirms	1	0	edge-6909595bf556ef0d	drv-1eee57e806d4bbb8
baptism-effects-regeneration	bithynia	62	64	affirms	1	0	edge-64a82bccfdb4d17a	drv-4ce9631e3bb644d6
baptism-effects-regeneration	cappadocia	62	64	affirms	1	0	edge-e4efa765309d98e8	drv-ca5e7ac4bea5ec60
baptism-effects-regeneration	galatia	62	64	affirms	1	0	edge-8ddc5771922abc87	drv-47b732608d3dacf7
baptism-effects-regeneration	pontus	62	64	affirms	1	0	edge-6584e30b221c9866	drv-c1807efb516e2aec
jesus-is-proclaimed-as-raised	asia	62	64	affirms	1	0	edge-93f8c437297cdb4c	drv-0d6c9bf4a8c4fbb2
jesus-is-proclaimed-as-raised	bithynia	62	64	affirms	1	0	edge-49e338722c423966	drv-e7f895b2fee17341
jesus-is-proclaimed-as-raised	cappadocia	62	64	affirms	1	0	edge-3b3b03fbf06aa5ae	drv-0660d5a971e69eef
jesus-is-proclaimed-as-raised	galatia	62	64	affirms	1	0	edge-0f84516f66f32a4b	drv-bd8ba7d2a09d67e0
jesus-is-proclaimed-as-raised	pontus	62	64	affirms	1	0	edge-40f7fac42c88b7c2	drv-d7b049956519be7b
logos-is-pre-existent-son-of-god	asia	90	100	affirms	1	0	edge-f6713e37546e3b7f	drv-b7e17f96d5c7e53c
logos-is-pre-existent-son-of-god	ephesus	90	100	affirms	1	0	edge-77bbc94e907a845b	drv-b064a53551020cd9
logos-is-pre-existent-son-of-god	galilee	90	100	affirms	1	0	edge-bd68fbb1a311cc6a	drv-a086da75b66f430e
logos-is-pre-existent-son-of-god	jerusalem	90	100	affirms	1	0	edge-14376bb35ba49c16	drv-169330aee1466b8c
logos-is-pre-existent-son-of-god	patmos	90	100	affirms	1	0	edge-420f671759aa0503	drv-a6a61a569524d81a
christ-truly-became-flesh	ephesus	90	120	opposes	0	1	edge-d491070894f31fcf	drv-ceed43ee9655536f
christ-truly-suffered-and-died	ephesus	90	120	opposes	0	1	edge-81b25bce48942d01	drv-706e87a2c30a32ba
jesus-born-of-virgin	ephesus	90	120	opposes	0	1	edge-8cf39b6cfaf0eaef	drv-c664643b8b88ef16
logos-is-pre-existent-son-of-god	ephesus	90	120	opposes	0	1	edge-b61aa425fcf8b23b	drv-9f7cb7d0a66ad316
old-testament-is-authoritative-scripture	ephesus	90	120	opposes	0	1	edge-7892d45e3a3263f8	drv-6f9356d1d336ae79
final-judgment-is-coming	ephesus	95	95	affirms	1	0	edge-731c3076036831c5	drv-f40fc86e6237deb1
