id	source_type	source_id	relationship	target_type	target_id	decade_start	decade_end	weight	notes	citations
e001	person	ignatius-of-antioch	bishop_of	city	0070-antioch-antakya	70	110	5	Ignatius was bishop of Antioch from approximately AD 69 until his arrest c.107.	https://www.newadvent.org/fathers/0109.htm
e002	person	ignatius-of-antioch	disciple_of	person	peter-the-apostle	60	107	4	Patristic tradition records Ignatius as appointed by Peter or the apostles.	https://www.newadvent.org/fathers/0109.htm
e003	person	ignatius-of-antioch	authored	work	ignatius-to-smyrnaeans	100	110	5	Written en route to martyrdom in Rome, c.107.	https://www.newadvent.org/fathers/0109.htm
e004	person	ignatius-of-antioch	authored	work	ignatius-to-romans	100	110	5	Written en route to martyrdom in Rome, c.107.	https://www.newadvent.org/fathers/0107.htm
e005	work	ignatius-to-smyrnaeans	sent_to	city	0090-smyrna-izmir	100	110	5	Letter explicitly addressed to the church at Smyrna.	https://www.newadvent.org/fathers/0109.htm
e006	work	ignatius-to-smyrnaeans	affirms	doctrine	real-presence	100		5	Letter to Smyrnaeans 6.2 is the clearest early patristic statement of real presence.	https://www.newadvent.org/fathers/0109.htm
e007	work	ignatius-to-smyrnaeans	first_mentions	doctrine	monarchical-episcopacy	100		5	Contains the clearest early case for a single bishop ruling each church.	https://www.newadvent.org/fathers/0109.htm
e008	work	ignatius-to-smyrnaeans	affirms	doctrine	altar-terminology	100		4	Uses thusiasterion language connecting Eucharist to bishop and altar.	https://www.newadvent.org/fathers/0109.htm
e009	person	polycarp-of-smyrna	bishop_of	city	0090-smyrna-izmir	110	155	5	Polycarp served as bishop of Smyrna for decades until his martyrdom.	https://www.newadvent.org/fathers/0136.htm
e010	person	polycarp-of-smyrna	corresponded_with	person	ignatius-of-antioch	100	110	4	Ignatius wrote a personal letter to Polycarp en route to martyrdom; they were contemporaries, not teacher-student.	https://www.newadvent.org/fathers/0109.htm
e011	person	irenaeus-of-lyon	disciple_of	person	polycarp-of-smyrna	150	160	5	Irenaeus states in Letter to Florinus that he sat at Polycarp's feet in Smyrna.	https://www.newadvent.org/fathers/0103.htm
e012	person	irenaeus-of-lyon	bishop_of	city	0170-lugdunum-lyon	177	202	5	Irenaeus succeeded Pothinus as bishop of Lyon after the 177 martyrdoms.	https://www.newadvent.org/fathers/0103.htm
e013	person	irenaeus-of-lyon	authored	work	irenaeus-against-heresies	180	185	5	Written in Lyon during his episcopate.	https://www.newadvent.org/fathers/0103.htm
e014	work	irenaeus-against-heresies	affirms	doctrine	apostolic-succession	180		5	Against Heresies 3.3.2 is the locus classicus for apostolic succession.	https://www.newadvent.org/fathers/0103.htm
e015	work	irenaeus-against-heresies	affirms	doctrine	eucharistic-sacrifice	180		4	Against Heresies 4.17.5 calls the Eucharist the "new oblation."	https://www.newadvent.org/fathers/0103418.htm
e016	person	clement-of-rome	bishop_of	city	0090-rome-rome	88	99	5	Fourth bishop of Rome per early episcopal lists.	https://www.newadvent.org/fathers/1010.htm
e017	person	clement-of-rome	authored	work	first-clement	90	100	5	Wrote First Clement to the church at Corinth c.96 AD.	https://www.newadvent.org/fathers/1010.htm
e018	work	first-clement	sent_to	city	0090-corinth-korinthos	90	100	5	Letter addressed to the church at Corinth.	https://www.newadvent.org/fathers/1010.htm
e019	work	first-clement	affirms	doctrine	apostolic-succession	90		4	First Clement 44 links church order to apostolic appointment.	https://www.newadvent.org/fathers/1010.htm
e020	person	justin-martyr	wrote_from	city	0150-rome-rome	150	165	4	Justin was active in Rome where he ran a philosophical school.	https://en.wikipedia.org/wiki/Justin_Martyr
e021	person	justin-martyr	authored	work	justin-first-apology	150	155	5	Written in Rome addressed to Emperor Antoninus Pius.	https://www.newadvent.org/fathers/0126.htm
e022	work	justin-first-apology	affirms	doctrine	real-presence	150		5	First Apology 66 describes Eucharistic bread as flesh and blood of Christ.	https://www.newadvent.org/fathers/0126.htm
