polity_slug	polity_label	start_year	end_year
chera-kingdom-keralaputra	Chera Kingdom (Keralaputra)		
kingdom-of-aksum	Kingdom of Aksum		
kingdom-of-armenia	Kingdom of Armenia		
kingdom-of-armenia-under-roman-persian-influence	Kingdom of Armenia (under Roman/Persian influence)		
kingdom-of-iberia-kartli	Kingdom of Iberia (Kartli)		
multiple-local-kingdoms	multiple local kingdoms		
nabataean-kingdom	Nabataean Kingdom		
palmyrene-empire	Palmyrene Empire		
parthian-roman-border	Parthian / Roman border		
parthian-sassanid-empire	Parthian / Sassanid Empire		
parthian-empire	Parthian Empire		
roman-parthian-border	Roman / Parthian border		
roman-sassanid-border	Roman / Sassanid border		
roman-empire	Roman Empire		
roman-empire-post-zenobia	Roman Empire (post-Zenobia)		
sasanian-empire	Sasanian Empire		
sasanid-persian-empire	Sasanid Persian Empire		
sassanid-empire	Sassanid Empire		
sassanid-persian-sphere	Sassanid Persian sphere		
