sect_slug	sect_label	start_year	end_year	notes
anti-marcionite	anti-Marcionite			
anti-montanist	anti-Montanist			
arian	Arian			
arian-dominant-in-region	Arian (dominant in region)			
arian-dominant-under-constantius-ii	Arian (dominant under Constantius II)			
arian-dominant	Arian (dominant)			
arian-eusebius	Arian (Eusebius)			
arian-controversy-beginning	Arian controversy beginning			
arian-opposition	Arian opposition			
arian-leaning	Arian-leaning			
bardaisanite	Bardaisanite			
bardaisanite-heterodox	Bardaisanite (heterodox)			
bardesanite	Bardesanite			
basilidean-gnosticism	Basilidean gnosticism			
basilidean-gnosticism-competing	Basilidean gnosticism competing			
church-of-the-east	Church of the East			
church-of-the-east-suppressed	Church of the East (suppressed)			
church-of-the-east-proto-orthodox	Church of the East / proto-orthodox			
donatist-dominant	Donatist (dominant)			
donatist-rival-from-311	Donatist (rival from 311)			
donatist-rival	Donatist (rival)			
donatist-schism-311-312	Donatist schism (311-312)			
donatist-schism-beginning	Donatist schism beginning			
donatist-vs-proto-orthodox	Donatist vs. proto-orthodox			
eustathian-ascetic	Eustathian ascetic			
gnostic-presence	gnostic presence			
gnostic-schools	gnostic schools			
homoiousian-semi-arian	Homoiousian (Semi-Arian)			
jewish-christian	Jewish Christian			
jewish-christianity-trad	Jewish Christianity (trad.)			
jewish-christianity-proto-orthodox	Jewish Christianity / proto-orthodox			
marcionite-rival	Marcionite (rival)			
meletian-schism	Meletian schism			
monarchian	Monarchian			
montanist	Montanist			
montanist-condemned	Montanist (condemned)			
montanist-tertullian	Montanist (Tertullian)			
montanist-influence	Montanist influence			
nicene-majority-at-nicaea	Nicene (majority at Nicaea)			
nicene-minority	Nicene minority			
nicene-present	Nicene present			
nicene-proto-orthodox	Nicene proto-orthodox			
nicene-syriac	Nicene Syriac			
nicene-vs-arian-contested	Nicene vs. Arian contested			
novatianist-controversy	Novatianist controversy			
novatianist-minority	Novatianist minority			
novatianist-schism	Novatianist schism			
proto-orthodox	proto-orthodox			
proto-orthodox-contested	proto-orthodox (contested)			
proto-orthodox-quartodeciman	proto-orthodox (Quartodeciman)			
proto-orthodox-church-of-the-east	proto-orthodox / Church of the East			
proto-orthodox-minority	proto-orthodox minority			
rigorist-schism	rigorist schism			
syriac-jewish-christian	Syriac Jewish Christian			
syriac-proto-orthodox	Syriac proto-orthodox			
syriac-proto-orthodox-under-persecution	Syriac proto-orthodox (under persecution)			
