entity_type	entity_id	place_id	year_start	year_end	weight	reason	stance
archaeology	aquileia-theodoran-basilica	archaeology:aquileia-theodoran-basilica	313	319	5	located_at	
archaeology	bodmer-papyri	archaeology:bodmer-papyri	175	300	5	located_at	
archaeology	capernaum-insula-sacra	archaeology:capernaum-insula-sacra	50	450	5	located_at	
archaeology	catacomb-of-callixtus-rome	archaeology:catacomb-of-callixtus-rome	200	400	5	located_at	
archaeology	catacombs-of-domitilla-rome	archaeology:catacombs-of-domitilla-rome	100	400	5	located_at	
archaeology	catacombs-of-priscilla-rome	archaeology:catacombs-of-priscilla-rome	150	400	5	located_at	
archaeology	catacombs-of-rome	archaeology:catacombs-of-rome	150	350	5	located_at	
archaeology	cave-apocalypse-patmos	archaeology:cave-apocalypse-patmos	90	100	5	located_at	
archaeology	chester-beatty-papyri	archaeology:chester-beatty-papyri	200	250	5	located_at	
archaeology	church-of-nativity-bethlehem	archaeology:church-of-nativity-bethlehem	330	339	5	located_at	
archaeology	dura-europos-house-church	archaeology:dura-europos-house-church	230	256	5	located_at	
archaeology	etchmiadzin-cathedral	archaeology:etchmiadzin-cathedral	301	303	5	located_at	
archaeology	holy-sepulchre-jerusalem	archaeology:holy-sepulchre-jerusalem	330		5	located_at	
archaeology	inscription-of-abercius	archaeology:inscription-of-abercius	190	200	5	located_at	
archaeology	john-tomb-ephesus	archaeology:john-tomb-ephesus	100	400	5	located_at	
archaeology	lateran-baptistery-rome	archaeology:lateran-baptistery-rome	315	320	5	located_at	
archaeology	lateran-basilica-rome	archaeology:lateran-basilica-rome	313	324	5	located_at	
archaeology	mamertine-prison-rome	archaeology:mamertine-prison-rome	0	68	5	located_at	
archaeology	martyrium-babylas-antioch	archaeology:martyrium-babylas-antioch	351	379	5	located_at	
archaeology	megiddo-church	archaeology:megiddo-church	230	260	5	located_at	
archaeology	nag-hammadi-codices	archaeology:nag-hammadi-codices	130	400	5	located_at	
archaeology	pool-of-bethesda-jerusalem	archaeology:pool-of-bethesda-jerusalem	0	70	5	located_at	
archaeology	pool-of-siloam-jerusalem	archaeology:pool-of-siloam-jerusalem	0	70	5	located_at	
archaeology	rylands-papyrus-p52	archaeology:rylands-papyrus-p52	100	175	5	located_at	
archaeology	santa-croce-gerusalemme-rome	archaeology:santa-croce-gerusalemme-rome	320	330	5	located_at	
archaeology	tyros-basilica	archaeology:tyros-basilica	313	315	5	located_at	
archaeology	vatican-necropolis	archaeology:vatican-necropolis	64	300	5	located_at	
doctrine	adoptionist-monarchianism	city:antioch-antakya	260	268	5	via_person_affirms	affirms
doctrine	adoptionist-monarchianism	city:caesarea-maritima-caesarea	312	325	3	via_work_condemns	condemns
doctrine	adoptionist-monarchianism	city:rome-rome	185	200	5	via_person_affirms	affirms
doctrine	adoptionist-monarchianism	city:rome-rome	222	235	5	via_work_condemns	condemns
doctrine	apocatastasis	city:alexandria-alexandria	220	230	5	via_work_affirms	affirms
doctrine	apocatastasis	city:athens-athens	230	235	5	via_person_affirms	affirms
doctrine	apocatastasis	city:caesarea-maritima-caesarea	231	254	5	via_person_affirms	affirms
doctrine	apocatastasis	city:olympus-olympos	280	311	5	via_person_condemns	condemns
doctrine	apocatastasis	city:tyre-tyre-sur	254	254	5	via_person_affirms	affirms
doctrine	apostolic-succession	city:caesarea-maritima-caesarea	312	325	5	via_work_affirms	affirms
doctrine	apostolic-succession	city:corinth-ancient-corinth	95	97	3	via_work_affirms	affirms
doctrine	apostolic-succession	city:hierapolis-pamukkale	110	130	3	via_work_affirms	affirms
doctrine	apostolic-succession	city:lugdunum-lyon	178	202	5	via_person_affirms	affirms
doctrine	apostolic-succession	city:lugdunum-lyon	180	190	5	via_work_affirms	affirms
doctrine	apostolic-succession	city:rome-rome	88	99	4	via_person_affirms	affirms
doctrine	apostolic-succession	city:rome-rome	95	97	3	via_work_affirms	affirms
doctrine	apostolic-succession	city:smyrna-izmir	140	165	5	via_person_affirms	affirms
doctrine	arianism	city:alexandria-alexandria	312	328	5	via_person_condemns	condemns
doctrine	arianism	city:alexandria-alexandria	318	320	5	via_work_affirms	affirms
doctrine	arianism	city:alexandria-alexandria	328	373	5	via_person_condemns	condemns
doctrine	arianism	city:byzantium-istanbul	339	342	4	via_person_affirms	affirms
doctrine	arianism	city:caesarea-maritima-caesarea	312	325	3	via_work_affirms	affirms
doctrine	arianism	city:nicomedia-izmit	317	339	4	via_person_affirms	affirms
doctrine	baptism-of-heretics	city:caesarea-maritima-caesarea	246	248	3	via_work_affirms	affirms
doctrine	baptism-of-heretics	city:carthage-carthage	248	258	5	via_person_affirms	affirms
doctrine	baptism-of-heretics	city:carthage-carthage	249	258	5	via_work_affirms	affirms
doctrine	baptism-of-heretics	city:rome-rome	254	257	4	via_person_condemns	condemns
doctrine	baptismal-regeneration	city:antioch-antakya	80	120	4	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:carthage-carthage	198	200	3	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:carthage-carthage	210	213	3	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:corinth-ancient-corinth	95	97	3	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:iconium-konya	160	190	3	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:lugdunum-lyon	178	202	4	via_person_affirms	affirms
doctrine	baptismal-regeneration	city:rome-rome	150	155	4	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:rome-rome	215	215	5	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:rome-rome	95	97	3	via_work_affirms	affirms
doctrine	baptismal-regeneration	city:smyrna-izmir	140	165	4	via_person_affirms	affirms
doctrine	canon-formation	city:alexandria-alexandria	247	264	4	via_person_affirms	affirms
doctrine	canon-formation	city:alexandria-alexandria	328	373	5	via_person_affirms	affirms
doctrine	canon-formation	city:athens-athens	230	235	4	via_person_affirms	affirms
doctrine	canon-formation	city:caesarea-maritima-caesarea	231	254	4	via_person_affirms	affirms
doctrine	canon-formation	city:caesarea-maritima-caesarea	312	325	5	via_work_affirms	affirms
doctrine	canon-formation	city:caesarea-maritima-caesarea	313	339	5	via_person_affirms	affirms
doctrine	canon-formation	city:caesarea-maritima-caesarea	313	340	5	via_person_affirms	affirms
doctrine	canon-formation	city:carthage-carthage	200	213	5	via_work_affirms	affirms
doctrine	canon-formation	city:jerusalem-jerusalem	212	221	3	via_work_affirms	affirms
doctrine	canon-formation	city:lugdunum-lyon	178	202	5	via_person_affirms	affirms
doctrine	canon-formation	city:lugdunum-lyon	180	190	5	via_work_affirms	affirms
doctrine	canon-formation	city:rome-rome	222	235	3	via_work_affirms	affirms
doctrine	canon-formation	city:smyrna-izmir	140	165	5	via_person_affirms	affirms
doctrine	canon-formation	city:tyre-tyre-sur	254	254	4	via_person_affirms	affirms
doctrine	christian-pacifism	city:athens-athens	175	180	4	via_person_affirms	affirms
doctrine	christian-pacifism	city:athens-athens	230	235	5	via_person_affirms	affirms
doctrine	christian-pacifism	city:caesarea-maritima-caesarea	231	254	5	via_person_affirms	affirms
doctrine	christian-pacifism	city:caesarea-maritima-caesarea	246	248	5	via_work_affirms	affirms
doctrine	christian-pacifism	city:caesarea-maritima-caesarea	249	249	4	via_work_affirms	affirms
doctrine	christian-pacifism	city:caesarea-maritima-caesarea	313	339	4	via_person_condemns	condemns
doctrine	christian-pacifism	city:caesarea-maritima-caesarea	313	340	4	via_person_condemns	condemns
doctrine	christian-pacifism	city:carthage-carthage	198	200	5	via_work_affirms	affirms
doctrine	christian-pacifism	city:carthage-carthage	211	211	5	via_work_affirms	affirms
doctrine	christian-pacifism	city:carthage-carthage	370	391	5	via_person_condemns	condemns
doctrine	christian-pacifism	city:ephesus-selcuk-area	130	148	3	via_person_affirms	affirms
doctrine	christian-pacifism	city:hippo-regius-annaba	391	430	5	via_person_condemns	condemns
doctrine	christian-pacifism	city:hippo-regius-annaba	397	400	5	via_work_condemns	condemns
doctrine	christian-pacifism	city:hippo-regius-annaba	413	426	4	via_work_condemns	condemns
doctrine	christian-pacifism	city:mediolanum-milan	374	397	4	via_person_condemns	condemns
doctrine	christian-pacifism	city:mediolanum-milan	384	387	5	via_person_condemns	condemns
doctrine	christian-pacifism	city:nicomedia-izmit	298	305	4	via_person_affirms	affirms
doctrine	christian-pacifism	city:nicomedia-izmit	300	305	4	via_person_affirms	affirms
doctrine	christian-pacifism	city:nicomedia-izmit	304	313	4	via_work_affirms	affirms
doctrine	christian-pacifism	city:rome-rome	148	165	3	via_person_affirms	affirms
doctrine	christian-pacifism	city:rome-rome	150	155	3	via_work_affirms	affirms
doctrine	christian-pacifism	city:rome-rome	215	215	4	via_work_affirms	affirms
doctrine	christian-pacifism	city:treverorum-trier	306	317	4	via_person_affirms	affirms
doctrine	christian-pacifism	city:tyre-tyre-sur	254	254	5	via_person_affirms	affirms
doctrine	church-discipline-ban	city:antioch-antakya	67	107	4	via_person_affirms	affirms
doctrine	church-discipline-ban	city:antioch-antakya	80	120	5	via_work_affirms	affirms
doctrine	church-discipline-ban	city:athens-athens	230	235	3	via_person_affirms	affirms
doctrine	church-discipline-ban	city:caesarea-maritima-caesarea	231	254	3	via_person_affirms	affirms
doctrine	church-discipline-ban	city:carthage-carthage	197	197	4	via_work_affirms	affirms
doctrine	church-discipline-ban	city:carthage-carthage	248	258	5	via_person_affirms	affirms
doctrine	church-discipline-ban	city:carthage-carthage	251	251	5	via_work_affirms	affirms
doctrine	church-discipline-ban	city:corinth-ancient-corinth	95	97	3	via_work_affirms	affirms
doctrine	church-discipline-ban	city:rome-rome	100	150	3	via_work_affirms	affirms
doctrine	church-discipline-ban	city:rome-rome	155	155	3	via_person_affirms	affirms
doctrine	church-discipline-ban	city:rome-rome	235	258	5	via_person_affirms	affirms
doctrine	church-discipline-ban	city:rome-rome	88	99	4	via_person_affirms	affirms
doctrine	church-discipline-ban	city:rome-rome	95	97	3	via_work_affirms	affirms
doctrine	church-discipline-ban	city:smyrna-izmir	110	155	3	via_person_affirms	affirms
doctrine	church-discipline-ban	city:tyre-tyre-sur	254	254	3	via_person_affirms	affirms
