alias	canonical_city_slug	alias_kind
Afamia	apamea-afamia	modern_name
Akhisar	thyatira-akhisar	modern_name
Akko	ptolemais-akko	modern_name
Aksu	perga-aksu	modern_name
Aksum (Axum)	aksum-axum-axum	ancient_name
Al-Eizariya	bethany-al-eizariya	modern_name
Al-Madain	seleucia-ctesiphon-al-madain	modern_name
Alaşehir	philadelphia-alasehir	modern_name
Alexandria	alexandria-alexandria	ancient_name
Alexandria	alexandria-alexandria	modern_name
Alexandria Troas	troas-alexandria-troas	modern_name
Amida	amida-diyarbak-r	ancient_name
Amman	philadelphia-arabia-amman	modern_name
Ancient Corinth	corinth-ancient-corinth	modern_name
Ancyra	ancyra-ankara	ancient_name
Ankara	ancyra-ankara	modern_name
Annaba	hippo-regius-annaba	modern_name
Antakya	antioch-antakya	modern_name
Antalya	attalia-antalya	modern_name
Antinoopolis	antinoopolis-sheikh-ibada	ancient_name
Antioch	antioch-antakya	ancient_name
Apamea	apamea-afamia	ancient_name
Aquileia	aquileia-aquileia	ancient_name
Aquileia	aquileia-aquileia	modern_name
Arelate	arelate-arles	ancient_name
Arles	arelate-arles	modern_name
Ascalon	ascalon-ashkelon	ancient_name
Ashdod	azotus-ashdod	modern_name
Ashkelon	ascalon-ashkelon	modern_name
Athens	athens-athens	ancient_name
Athens	athens-athens	modern_name
Attalia	attalia-antalya	ancient_name
Augsburg	augusta-vindelicorum-augsburg	modern_name
Augusta Treverorum	augusta-treverorum-trier	ancient_name
Augusta Vindelicorum	augusta-vindelicorum-augsburg	ancient_name
Axum	aksum-axum-axum	modern_name
Azotus	azotus-ashdod	ancient_name
Baalbek	heliopolis-baalbek	modern_name
Banias	caesarea-philippi-banias	modern_name
Barcelona	barcinonae-barcelona	modern_name
Barcinonae	barcinonae-barcelona	ancient_name
Beirut	berytus-beirut	modern_name
Bekarlar (near Güzelyurt)	nazianzus-bekarlar-near-guzelyurt	modern_name
Bergama	pergamon-bergama	modern_name
Beroia	beroia-veria	ancient_name
Berytus	berytus-beirut	ancient_name
Bet She'an	scythopolis-bet-shean	modern_name
Bethany	bethany-al-eizariya	ancient_name
Bethlehem	bethlehem-bethlehem	ancient_name
Bethlehem	bethlehem-bethlehem	modern_name
Bologna	bononia-bologna	modern_name
Bononia	bononia-bologna	ancient_name
Bosra	bostra-bosra	modern_name
Bostra	bostra-bosra	ancient_name
Brindisi	brundisium-brindisi	modern_name
Brundisium	brundisium-brindisi	ancient_name
Byzantium	byzantium-istanbul	ancient_name
Byzantium / Constantinople	byzantium-istanbul	ancient_name
Caesaraugusta	caesaraugusta-zaragoza	ancient_name
Caesarea	caesarea-maritima-caesarea	modern_name
Caesarea Cappadocia	caesarea-cappadocia-kayseri	ancient_name
Caesarea Maritima	caesarea-maritima-caesarea	ancient_name
Caesarea Philippi	caesarea-philippi-banias	ancient_name
Çankırı	gangra-cank-r	modern_name
Capernaum	capernaum-kefar-nahum	ancient_name
