raw_city_ancient	raw_country_modern	raw_city_modern	canonical_city_slug	canonical_city_label	notes
Aksum (Axum)	Ethiopia	Axum	aksum-axum-axum	Aksum (Axum)	
Alexandria	Egypt	Alexandria	alexandria-alexandria	Alexandria	
Amida	Türkiye	Diyarbakır	amida-diyarbak-r	Amida	
Ancyra	Türkiye	Ankara	ancyra-ankara	Ancyra	
Antinoopolis	Egypt	Sheikh Ibada	antinoopolis-sheikh-ibada	Antinoopolis	
Antioch	Türkiye	Antakya	antioch-antakya	Antioch	
Apamea	Syria	Afamia	apamea-afamia	Apamea	
Aquileia	Italy	Aquileia	aquileia-aquileia	Aquileia	
Arelate	France	Arles	arelate-arles	Arelate	
Ascalon	Israel	Ashkelon	ascalon-ashkelon	Ascalon	
Athens	Greece	Athens	athens-athens	Athens	
Attalia	Türkiye	Antalya	attalia-antalya	Attalia	
Augusta Treverorum	Germany	Trier	augusta-treverorum-trier	Augusta Treverorum	
Augusta Vindelicorum	Germany	Augsburg	augusta-vindelicorum-augsburg	Augusta Vindelicorum	
Azotus	Israel	Ashdod	azotus-ashdod	Azotus	
Barcinonae	Spain	Barcelona	barcinonae-barcelona	Barcinonae	
Beroia	Greece	Veria	beroia-veria	Beroia	
Berytus	Lebanon	Beirut	berytus-beirut	Berytus	
Bethany	Palestinian Territories	Al-Eizariya	bethany-al-eizariya	Bethany	
Bethlehem	Palestinian Territories	Bethlehem	bethlehem-bethlehem	Bethlehem	
Bononia	Italy	Bologna	bononia-bologna	Bononia	
Bostra	Syria	Bosra	bostra-bosra	Bostra	
Brundisium	Italy	Brindisi	brundisium-brindisi	Brundisium	
Byzantium	Türkiye	Istanbul	byzantium-istanbul	Byzantium	
Byzantium / Constantinople	Türkiye	Istanbul	byzantium-istanbul	Byzantium	
Caesaraugusta	Spain	Zaragoza	caesaraugusta-zaragoza	Caesaraugusta	
Caesarea Cappadocia	Türkiye	Kayseri	caesarea-cappadocia-kayseri	Caesarea Cappadocia	
Caesarea Maritima	Israel	Caesarea	caesarea-maritima-caesarea	Caesarea Maritima	
Caesarea Philippi	Israel	Banias	caesarea-philippi-banias	Caesarea Philippi	
Capernaum	Israel	Kefar Nahum	capernaum-kefar-nahum	Capernaum	
Capua	Italy	Santa Maria Capua Vetere	capua-santa-maria-capua-vetere	Capua	
Carnuntum	Austria	Petronell-Carnuntum	carnuntum-petronell-carnuntum	Carnuntum	
Carrhae	Türkiye	Harran	carrhae-harran	Carrhae	
Carthage	Tunisia	Carthage	carthage-carthage	Carthage	
Cenchreae	Greece	Kenchreai	cenchreae-kenchreai	Cenchreae	
Chalcedon	Türkiye	Kadıköy (Istanbul)	chalcedon-kad-koy-istanbul	Chalcedon	
Cirta	Algeria	Constantine	cirta-constantine	Cirta	
Colonia Agrippina	Germany	Cologne	colonia-agrippina-cologne	Colonia Agrippina	
Colossae	Türkiye	near Honaz	colossae-near-honaz	Colossae	
Constantinople	Türkiye	Istanbul	byzantium-istanbul	Byzantium	
Corduba	Spain	Cordoba	corduba-cordoba	Corduba	
Corinth	Greece	Ancient Corinth	corinth-ancient-corinth	Corinth	
Cyprus / Salamis	Cyprus	Famagusta area	cyprus-salamis-famagusta-area	Cyprus / Salamis	
Cyrene	Libya	Shahhat	cyrene-shahhat	Cyrene	
