raw_person_token	canonical_person_slug	canonical_person_label	disambiguation_note
(community destroyed)	community-destroyed	(community destroyed)	
1 Clement recipients	1-clement-recipients	1 Clement recipients	
Abgar VIII (Christian king)	abgar-viii	Abgar VIII	
Acacius	acacius	Acacius	
Acacius of Caesarea	acacius-of-caesarea	Acacius of Caesarea	
Achillas	achillas	Achillas	
Addai	addai	Addai	
Addai (trad.)	addai	Addai	
Adelfius	adelfius	Adelfius	
Aedesius	aedesius	Aedesius	
Afra (martyr, c.304 AD)	afra	Afra	
Aggai	aggai	Aggai	
Aggai (trad.)	aggai	Aggai	
Agricius (bishop)	agricius	Agricius	
Agrippinus	agrippinus	Agrippinus	
Alban (martyr, Verulamium)	alban	Alban	
Alexander	alexander	Alexander	
Alexander (bishop c.212)	alexander	Alexander	
Alexander I	alexander-i	Alexander I	
Alexander of Alexandria	alexander-of-alexandria	Alexander of Alexandria	
Alexander of Byzantium	alexander-of-byzantium	Alexander of Byzantium	
Alexander of Constantinople	alexander-of-constantinople	Alexander of Constantinople	
Alexander of Jerusalem	alexander-of-jerusalem	Alexander of Jerusalem	
Ambrose (patron)	ambrose	Ambrose	
Anacletus	anacletus	Anacletus	
Ananianus	ananianus	Ananianus	
Ananias of Damascus	ananias-of-damascus	Ananias of Damascus	
Andrew	andrew	Andrew	
Anicetus	anicetus	Anicetus	
Anthimus of Nicomedia	anthimus-of-nicomedia	Anthimus of Nicomedia	
Anthimus of Nicomedia (martyred 303)	anthimus-of-nicomedia	Anthimus of Nicomedia	
Anthony the Great	anthony-the-great	Anthony the Great	
Anthony the Great (ascetic active near Thebaid)	anthony-the-great	Anthony the Great	
Anthony the Great (eremitic)	anthony-the-great	Anthony the Great	
Antipas (martyr, trad.; Rev 2:13)	antipas	Antipas	
Apollinaris (trad. 1st bishop; trad. sent by Peter)	apollinaris	Apollinaris	
Apollinaris of Hierapolis	apollinaris-of-hierapolis	Apollinaris of Hierapolis	
Apollinaris of Hierapolis (bishop ~170)	apollinaris-of-hierapolis	Apollinaris of Hierapolis	
Apollinaris of Hierapolis (d.~175)	apollinaris-of-hierapolis	Apollinaris of Hierapolis	
Apollos	apollos	Apollos	
Aquila	aquila	Aquila	
Archippus	archippus	Archippus	
Archippus (Col 4:17)	archippus	Archippus	
Aristakes (Catholicos, martyred c.333)	aristakes	Aristakes	
Aristakes (Catholicos)	aristakes	Aristakes	
Aristakes (Gregory's son, at Nicaea)	aristakes	Aristakes	
Aristarchus	aristarchus	Aristarchus	
Aristarchus (trad.)	aristarchus	Aristarchus	
Aristides (apologist, ~c.125)	aristides	Aristides	
Arius	arius	Arius	
Arius (cleric)	arius	Arius	
Arius (young cleric)	arius	Arius	
Asclepiades	asclepiades	Asclepiades	
Asclepiades of Antioch	asclepiades-of-antioch	Asclepiades of Antioch	
Athanasius	athanasius	Athanasius	
Athanasius (deacon/bishop)	athanasius	Athanasius	
Athanasius (exiled here c.340)	athanasius	Athanasius	
Athanasius of Alexandria	athanasius-of-alexandria	Athanasius of Alexandria	
Athanasius of Alexandria (bishop 328)	athanasius-of-alexandria	Athanasius of Alexandria	
Athanasius of Alexandria (exiled 335-337; 339-346)	athanasius-of-alexandria	Athanasius of Alexandria	
Athanasius of Alexandria (exiled 339-342)	athanasius-of-alexandria	Athanasius of Alexandria	
Athenagoras	athenagoras	Athenagoras	
Athenagoras (c.133-190)	athenagoras	Athenagoras	
Auxentius (bishop from 355, Arian)	auxentius	Auxentius	
Avilius	avilius	Avilius	
Babu (bishop)	babu	Babu	
Babylas of Antioch	babylas-of-antioch	Babylas of Antioch	
Bacchylides	bacchylides	Bacchylides	
