raw_polity_token	canonical_polity_slug	canonical_polity_label
Chera Kingdom (Keralaputra)	chera-kingdom	Chera Kingdom
Kingdom of Aksum	kingdom-of-aksum	Kingdom of Aksum
Kingdom of Armenia	kingdom-of-armenia	Kingdom of Armenia
Kingdom of Armenia (under Roman/Persian influence)	kingdom-of-armenia	Kingdom of Armenia
Kingdom of Iberia (Kartli)	kingdom-of-iberia	Kingdom of Iberia
multiple local kingdoms	multiple-local-kingdoms	multiple local kingdoms
Nabataean Kingdom	nabataean-kingdom	Nabataean Kingdom
Palmyrene Empire	palmyrene-empire	Palmyrene Empire
Parthian / Roman border	parthian-roman-border	Parthian / Roman border
Parthian / Sassanid Empire	sassanid-empire	Sassanid Empire
Parthian Empire	parthian-empire	Parthian Empire
Roman / Parthian border	roman-parthian-border	Roman / Parthian border
Roman / Sassanid border	sassanid-empire	Sassanid Empire
Roman Empire	roman-empire	Roman Empire
Roman Empire (post-Zenobia)	roman-empire	Roman Empire
Sasanian Empire	sassanid-empire	Sassanid Empire
Sasanid Persian Empire	sassanid-empire	Sassanid Empire
Sassanid Empire	sassanid-empire	Sassanid Empire
Sassanid Persian sphere	sassanid-empire	Sassanid Empire
