subject_type	subject_id	predicate_id	first_year	first_claim_id	first_passage_id
person	caiaphas	active_in	18	clm-caiaphas-active-jerusalem	
person	pontius-pilate	active_in	26	clm-pilate-active-judea	psg-josephus-ant-18-55-59
event	baptism-of-jesus	event_has_year	27	clm-baptism-year	
event	baptism-of-jesus	event_occurs_at	27	clm-baptism-at-bethany	psg-john-1-28-34
group	followers-of-john-the-baptist	group_present_at	27	clm-group-john-judea	psg-luke-3-1-3
place	galilee	place_presence_status	27	clm-place-galilee-attested	psg-mark-1-14-15
place	jerusalem	place_presence_status	27	clm-place-jerusalem-attested	psg-mark-11-15-18
person	jesus-of-nazareth	active_in	27	clm-jesus-active-galilee	psg-mark-1-14-15
person	jesus-of-nazareth	participant_in	27	clm-jesus-in-baptism	psg-john-1-28-34
person	john-the-baptist	active_in	27	clm-john-active-wilderness	psg-josephus-ant-18-116-119
person	john-the-baptist	member_of_group	27	clm-johnb-group	psg-josephus-ant-18-116-119
person	john-the-baptist	participant_in	27	clm-john-in-baptism	psg-john-1-28-34
place	judea	place_presence_status	27	clm-place-judea-attested	psg-mark-11-15-18
group	pharisees	group_present_at	27	clm-group-pharisees-judea	
group	sadducees	group_present_at	27	clm-group-sadducees-jerusalem	
person	andrew	member_of_group	28	clm-andrew-disciple	psg-mark-1-16-20
person	andrew	participant_in	28	clm-andrew-in-calling	psg-mark-1-16-20
event	calling-of-the-first-disciples	event_has_year	28	clm-calling-year	
event	calling-of-the-first-disciples	event_occurs_at	28	clm-calling-at-capernaum	psg-mark-1-16-20
group	disciples-of-jesus	group_present_at	28	clm-group-disciples-galilee	
person	james-son-of-zebedee	member_of_group	28	clm-james-disciple	psg-mark-1-16-20
person	james-son-of-zebedee	participant_in	28	clm-james-in-calling	psg-mark-1-16-20
person	john-son-of-zebedee	member_of_group	28	clm-john-disciple	psg-mark-1-16-20
person	john-son-of-zebedee	participant_in	28	clm-john-in-calling	psg-mark-1-16-20
event	sermon-on-the-mount	event_has_year	28	clm-sermon-year	
event	sermon-on-the-mount	event_occurs_at	28	clm-sermon-at-galilee	psg-matt-7-28-29
person	simon-peter	member_of_group	28	clm-peter-disciple	psg-mark-1-16-20
person	simon-peter	participant_in	28	clm-peter-in-calling	psg-mark-1-16-20
person	caiaphas	participant_in	30	clm-caiaphas-in-temple-era	
event	temple-cleansing	event_has_year	30	clm-temple-year	
event	temple-cleansing	event_occurs_at	30	clm-temple-at-jerusalem	psg-mark-11-15-18
person	jesus-of-nazareth	person_affirms_proposition	70	clm-jesus-follow	psg-mark-1-16-20
person	john-the-baptist	person_affirms_proposition	85	clm-john-repentance	psg-josephus-ant-18-116-119
