mention_source_type	source_table	source_row_id	source_field	source_path	mentioned_type	mentioned_id	mention_label
markdown_file				.windsurf/workflows/data-edit.md	bible	...	
markdown_file				.windsurf/workflows/data-edit.md	bible	1Cor.11.23	1 Corinthians 11:23
markdown_file				.windsurf/workflows/data-edit.md	bible	Gal.1.18-Gal.1.19	Galatians 1:18–19
markdown_file				.windsurf/workflows/data-edit.md	group	roman-empire	Roman Empire
markdown_file				.windsurf/workflows/data-edit.md	person	paul	Paul
markdown_file				.windsurf/workflows/data-edit.md	place	jerusalem-jerusalem	Jerusalem
markdown_file				.windsurf/workflows/data-edit.md	type	id	
markdown_file				.windsurf/workflows/data-edit.md	type	id	Label
markdown_file				.windsurf/workflows/data-edit.md	type	id	label
markdown_file				.windsurf/workflows/data-edit.md	work	nt-1cor	1 Corinthians
markdown_file				data/essays/apostolic-succession.md	city	alexandria-alexandria	Alexandria
markdown_file				data/essays/apostolic-succession.md	city	antioch-antakya	Antioch
markdown_file				data/essays/apostolic-succession.md	city	caesarea-maritima-caesarea	Caesarea
markdown_file				data/essays/apostolic-succession.md	city	carthage-carthage	Carthage
markdown_file				data/essays/apostolic-succession.md	city	corinth-ancient-corinth	Corinth
markdown_file				data/essays/apostolic-succession.md	city	corinth-ancient-corinth	Corinthian
markdown_file				data/essays/apostolic-succession.md	city	jerusalem-jerusalem	Jerusalem
markdown_file				data/essays/apostolic-succession.md	city	rome-rome	Rome
markdown_file				data/essays/apostolic-succession.md	city	smyrna-izmir	Smyrna
markdown_file				data/essays/apostolic-succession.md	event	irenaeus-writes-against-heresies	c. 180–185
markdown_file				data/essays/apostolic-succession.md	person	anicetus	Anicetus
markdown_file				data/essays/apostolic-succession.md	person	clement-of-rome	Clement
markdown_file				data/essays/apostolic-succession.md	person	eleutherus	Eleutherius
markdown_file				data/essays/apostolic-succession.md	person	eusebius-of-caesarea	Eusebius
markdown_file				data/essays/apostolic-succession.md	person	eusebius-of-caesarea	Eusebius of Caesarea
markdown_file				data/essays/apostolic-succession.md	person	hegesippus	Hegesippus
markdown_file				data/essays/apostolic-succession.md	person	hippolytus	Hippolytus
markdown_file				data/essays/apostolic-succession.md	person	ignatius-of-antioch	Ignatius of Antioch
markdown_file				data/essays/apostolic-succession.md	person	irenaeus-of-lyon	Irenaeus
markdown_file				data/essays/apostolic-succession.md	person	irenaeus-of-lyon	Irenaeus of Lyon
markdown_file				data/essays/apostolic-succession.md	person	james-the-just	James
markdown_file				data/essays/apostolic-succession.md	person	john-the-apostle	John
markdown_file				data/essays/apostolic-succession.md	person	john-the-apostle	John the Apostle
markdown_file				data/essays/apostolic-succession.md	person	melito-of-sardis	Melito
markdown_file				data/essays/apostolic-succession.md	person	origen	Origen
markdown_file				data/essays/apostolic-succession.md	person	papias-of-hierapolis	Papias
markdown_file				data/essays/apostolic-succession.md	person	papias-of-hierapolis	Papias of Hierapolis
markdown_file				data/essays/apostolic-succession.md	person	paul	Paul
markdown_file				data/essays/apostolic-succession.md	person	peter	Peter
markdown_file				data/essays/apostolic-succession.md	person	polycarp-of-smyrna	Polycarp of Smyrna
markdown_file				data/essays/apostolic-succession.md	person	tertullian	Tertullian
markdown_file				data/essays/apostolic-succession.md	work	1-clement	1 Clement
markdown_file				data/essays/apostolic-succession.md	work	eusebius-ecclesiastical-history	Ecclesiastical History
markdown_file				data/essays/apostolic-succession.md	work	eusebius-ecclesiastical-history	Eusebius's Ecclesiastical History
markdown_file				data/essays/apostolic-succession.md	work	hippolytus-apostolic-tradition	Apostolic Tradition
markdown_file				data/essays/apostolic-succession.md	work	ignatius-magnesians	Magnesians
markdown_file				data/essays/apostolic-succession.md	work	ignatius-smyrnaeans	Smyrnaeans
markdown_file				data/essays/apostolic-succession.md	work	irenaeus-against-heresies	Against Heresies
markdown_file				data/essays/apostolic-succession.md	work	melito-on-pascha	Peri Pascha
markdown_file				data/essays/apostolic-succession.md	work	nt-1cor	1 Corinthians
markdown_file				data/essays/apostolic-succession.md	work	nt-1tim	1 Timothy
markdown_file				data/essays/apostolic-succession.md	work	nt-2tim	2 Timothy
markdown_file				data/essays/apostolic-succession.md	work	tertullian-de-praescriptione	De Praescriptione Haereticorum
markdown_file				data/essays/church-went-astray.md	city	antioch-antakya	Antioch
markdown_file				data/essays/church-went-astray.md	city	corinth-ancient-corinth	Corinth
markdown_file				data/essays/church-went-astray.md	city	corinth-ancient-corinth	Corinthian
markdown_file				data/essays/church-went-astray.md	city	ephesus-selcuk-area	Ephesus
markdown_file				data/essays/church-went-astray.md	city	laodicea-denizli-area	Laodicea
markdown_file				data/essays/church-went-astray.md	city	pergamon-bergama	Pergamon
markdown_file				data/essays/church-went-astray.md	city	philadelphia-alasehir	Philadelphia
markdown_file				data/essays/church-went-astray.md	city	rome-rome	Rome
markdown_file				data/essays/church-went-astray.md	city	sardis-sart	Sardis
markdown_file				data/essays/church-went-astray.md	city	smyrna-izmir	Smyrna
markdown_file				data/essays/church-went-astray.md	city	thyatira-akhisar	Thyatira
markdown_file				data/essays/church-went-astray.md	event	council-of-ephesus-431	Council of Ephesus (431)
markdown_file				data/essays/church-went-astray.md	event	martyrdom-of-polycarp-of-smyrna	martyrdom of 155–156 CE
markdown_file				data/essays/church-went-astray.md	person	antipas	Antipas
markdown_file				data/essays/church-went-astray.md	person	arius	Arius
markdown_file				data/essays/church-went-astray.md	person	clement-of-rome	Clement
markdown_file				data/essays/church-went-astray.md	person	clement-of-rome	Clement of Rome
markdown_file				data/essays/church-went-astray.md	person	hegesippus	Hegesippus
markdown_file				data/essays/church-went-astray.md	person	ignatius-of-antioch	Ignatius
markdown_file				data/essays/church-went-astray.md	person	ignatius-of-antioch	Ignatius of Antioch
markdown_file				data/essays/church-went-astray.md	person	irenaeus-of-lyon	Irenaeus
markdown_file				data/essays/church-went-astray.md	person	john-the-apostle	Apostle John
markdown_file				data/essays/church-went-astray.md	person	john-the-apostle	John
markdown_file				data/essays/church-went-astray.md	person	john-the-apostle	John the Apostle
markdown_file				data/essays/church-went-astray.md	person	melito-of-sardis	Melito of Sardis
markdown_file				data/essays/church-went-astray.md	person	onesiphorus	Onesiphorus
markdown_file				data/essays/church-went-astray.md	person	paul	Paul
markdown_file				data/essays/church-went-astray.md	person	polycarp-of-smyrna	Polycarp
markdown_file				data/essays/church-went-astray.md	person	polycarp-of-smyrna	Polycarp of Smyrna
markdown_file				data/essays/church-went-astray.md	person	vincent-of-lerins	Vincent of Lérins
markdown_file				data/essays/church-went-astray.md	work	1-clement	1 Clement
markdown_file				data/essays/church-went-astray.md	work	ignatius-smyrnaeans	Smyrnaeans
markdown_file				data/essays/church-went-astray.md	work	ignatius-trallians	Trallians
markdown_file				data/essays/church-went-astray.md	work	irenaeus-against-heresies	Against Heresies
markdown_file				data/essays/church-went-astray.md	work	nt-2tim	2 Timothy
markdown_file				data/essays/church-went-astray.md	work	nt-galatians	Galatians
markdown_file				data/essays/church-went-astray.md	work	nt-revelation	Revelation
markdown_file				data/essays/church-went-astray.md	work	polycarp-philippians	Letter to the Philippians
markdown_file				data/essays/eucharist-center.md	archaeology	aquileia-theodoran-basilica	Aquileia Theodoran Basilica
markdown_file				data/essays/eucharist-center.md	archaeology	dura-europos-house-church	Dura-Europos house church
markdown_file				data/essays/eucharist-center.md	archaeology	etchmiadzin-cathedral	The Mother Cathedral of Holy Etchmiadzin
markdown_file				data/essays/eucharist-center.md	archaeology	inscription-of-abercius	The Abercius Inscription
markdown_file				data/essays/eucharist-center.md	archaeology	megiddo-church	Megiddo Prison Church
markdown_file				data/essays/eucharist-center.md	archaeology	megiddo-church	Megiddo altar inscription
markdown_file				data/essays/eucharist-center.md	city	antioch-antakya	Antioch
markdown_file				data/essays/eucharist-center.md	city	corinth-ancient-corinth	Corinth
markdown_file				data/essays/eucharist-center.md	city	corinth-ancient-corinth	Corinthian
markdown_file				data/essays/eucharist-center.md	city	jerusalem-jerusalem	Jerusalem
markdown_file				data/essays/eucharist-center.md	city	lugdunum-lyon	Lugdunum
markdown_file				data/essays/eucharist-center.md	city	rome-rome	Rome
markdown_file				data/essays/eucharist-center.md	city	vagharshapat-vagharshapat-etchmiadzin	Vagharshapat
markdown_file				data/essays/eucharist-center.md	event	irenaeus-writes-against-heresies	c. 180–185
markdown_file				data/essays/eucharist-center.md	event	martyrdom-of-justin-martyr	c. 165 CE
markdown_file				data/essays/eucharist-center.md	person	clement-of-rome	Clement of Rome
markdown_file				data/essays/eucharist-center.md	person	gregory-the-illuminator	Gregory the Illuminator
markdown_file				data/essays/eucharist-center.md	person	hippolytus	Hippolytus
markdown_file				data/essays/eucharist-center.md	person	hippolytus	Hippolytus of Rome
markdown_file				data/essays/eucharist-center.md	person	ignatius-of-antioch	Ignatius
