place_id	decade	presence_status	persuasion_ids	polity_id	ruling_subdivision	council_context	evidence_note_id
city:jerusalem-jerusalem	40	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		97cf140daf
city:jerusalem-jerusalem	50	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		7dc7620351
city:jerusalem-jerusalem	60	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		d499d37f93
city:jerusalem-jerusalem	70	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		94d86a35f6
city:jerusalem-jerusalem	80	probable	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		fa484e2a68
city:jerusalem-jerusalem	90	probable	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		6fc4c6deed
city:jerusalem-jerusalem	100	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		c92346434d
city:jerusalem-jerusalem	110	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		d9b8f01ac6
city:jerusalem-jerusalem	120	attested	catholic;jewish-christian;orthodox;proto-orthodox	roman-empire	Judaea		701fed1bbd
city:jerusalem-jerusalem	130	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		5ac422bf19
city:jerusalem-jerusalem	140	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		b89a3b025f
city:jerusalem-jerusalem	150	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		5ffcf9ee54
city:jerusalem-jerusalem	160	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		1798e9da36
city:jerusalem-jerusalem	170	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		5b9567c291
city:jerusalem-jerusalem	180	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		cf6cdecd8d
city:jerusalem-jerusalem	190	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		c26885da35
city:jerusalem-jerusalem	200	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		24e3381150
city:jerusalem-jerusalem	210	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		257d1d80f5
city:jerusalem-jerusalem	220	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		c2692fe2d0
city:jerusalem-jerusalem	230	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		44514e9e25
city:jerusalem-jerusalem	240	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		0e08516f4d
city:jerusalem-jerusalem	250	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		67c11fbd05
city:jerusalem-jerusalem	260	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		419c51b348
city:jerusalem-jerusalem	270	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		20222f883e
city:jerusalem-jerusalem	280	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		c3fa83a434
city:jerusalem-jerusalem	290	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		49b60ff686
city:jerusalem-jerusalem	300	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		9e212c5e98
city:jerusalem-jerusalem	310	attested	catholic;orthodox;proto-orthodox	roman-empire	Syria Palaestina		0adb764310
city:jerusalem-jerusalem	320	attested	catholic;nicene;orthodox	roman-empire	Syria Palaestina	Nicaea I (325): affected	d9e8f5a709
city:jerusalem-jerusalem	330	attested	catholic;nicene;orthodox	roman-empire	Syria Palaestina		f7f63b92f9
city:jerusalem-jerusalem	340	attested	catholic;nicene;orthodox	roman-empire	Syria Palaestina		b99d327a04
city:jerusalem-jerusalem	350	attested	catholic;nicene;orthodox	roman-empire	Syria Palaestina		1a1e609ebf
city:antioch-antakya	40	attested	catholic;jewish-christian;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		d94754791f
city:antioch-antakya	50	attested	catholic;jewish-christian;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		1a1179fdc8
city:antioch-antakya	60	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		ad7ae768f9
city:antioch-antakya	70	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		3cf2b9ae61
city:antioch-antakya	80	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		84fd308f4e
city:antioch-antakya	90	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		3f96064f97
city:antioch-antakya	100	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		3cd142db04
city:antioch-antakya	110	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		9cf4c28133
city:antioch-antakya	120	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		7d270d422e
city:antioch-antakya	130	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		31e5074d56
city:antioch-antakya	140	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		1e7cc9129d
city:antioch-antakya	150	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		d4f350fe6d
city:antioch-antakya	160	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		c871f95766
city:antioch-antakya	170	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		0ff0a8545c
city:antioch-antakya	180	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		a10ffc3b00
city:antioch-antakya	190	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		233049f07f
city:antioch-antakya	200	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		f408629a5a
city:antioch-antakya	210	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		eba3c8f02c
city:antioch-antakya	220	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		17cae3b6ff
city:antioch-antakya	230	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		68e4465eb1
city:antioch-antakya	240	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		edb42aa5e0
city:antioch-antakya	250	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		2faf3139ae
city:antioch-antakya	260	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		5e5cb2cee8
city:antioch-antakya	270	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		38a6690a34
city:antioch-antakya	280	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		ad53f64356
city:antioch-antakya	290	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		fdc8396437
city:antioch-antakya	300	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		ea8c264ec7
city:antioch-antakya	310	attested	catholic;miaphysite;orthodox;proto-orthodox	roman-empire	Roman Syria		ff178df11c
city:antioch-antakya	320	attested	catholic;miaphysite;nicene;orthodox	roman-empire	Roman Syria	Nicaea I (325): supports	f256f84f1f
city:antioch-antakya	330	attested	arian;catholic;miaphysite;nicene;orthodox	roman-empire	Roman Syria		66c250f622
city:antioch-antakya	340	attested	arian;catholic;miaphysite;nicene;orthodox	roman-empire	Roman Syria		ba35debaca
city:antioch-antakya	350	attested	arian;catholic;miaphysite;nicene;orthodox	roman-empire	Roman Syria		77efa0a067
city:damascus-damascus	40	attested	jewish-christian;orthodox;proto-orthodox	roman-empire	Roman Syria		90ae847447
city:damascus-damascus	50	attested	jewish-christian;orthodox;proto-orthodox	roman-empire	Roman Syria		a8088d4e41
city:damascus-damascus	60	probable	jewish-christian;orthodox;proto-orthodox	roman-empire	Roman Syria		301c3cac0e
city:damascus-damascus	70	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		19a7930e4e
city:damascus-damascus	80	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		004b03e013
city:damascus-damascus	90	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		d407655a18
city:damascus-damascus	100	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		54c8f7f1f3
city:damascus-damascus	110	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		1b800ded3e
city:damascus-damascus	120	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		aa628f533e
city:damascus-damascus	130	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		23829fd713
city:damascus-damascus	140	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		fcce0b0dbd
city:damascus-damascus	150	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		b84ff73527
city:damascus-damascus	160	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		96ea8f97fe
city:damascus-damascus	170	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		9e024d5bee
city:damascus-damascus	180	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		7f7852f18d
city:damascus-damascus	190	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		2eaf34fe08
city:damascus-damascus	200	probable	orthodox;proto-orthodox	roman-empire	Roman Syria		18d68991d1
