dimension_id	topic_id	dimension_label	dimension_kind	notes
apostolic-succession	apostolic-tradition	Apostolic succession	binary	Whether episcopal succession from the apostles is an explicit teaching.
assembly-frequency	eucharist-practice	Assembly frequency	binary	Whether frequent eucharistic assembly is normative.
baptism-mode	baptism-practice	Baptism mode	binary	Mode and matter of baptism.
baptism-regeneration	baptism-practice	Baptismal regeneration	binary	Whether baptism effects spiritual rebirth or regeneration.
bishop-liturgy	episcopal-authority	Bishop liturgy control	binary	Whether valid sacraments require episcopal authorization.
bishop-presbyter-deacon	church-order	Threefold ministry	binary	Whether a threefold ministry of bishop, presbyter, and deacon is required.
call-to-follow	discipleship	Call to follow	binary	Whether persons are called to follow Jesus.
coming-judgment	final-judgment	Coming judgment	binary	Whether a text presents a future final judgment.
eucharist-immortality	eucharist-practice	Eucharist as medicine of immortality	binary	Whether the Eucharist is described as conferring immortality or incorruption upon recipients.
eucharist-sacrificial	eucharist-practice	Eucharistic sacrifice	binary	Whether the Eucharist is explicitly described as a sacrifice or oblation.
fasting-required	ascetic-practice	Fasting requirement	binary	Whether fasting is required as a Christian discipline.
gentile-circumcision	gentile-inclusion	Circumcision requirement	binary	Whether Gentile believers are required to be circumcised for full inclusion.
jesus-as-messiah	messianic-identity	Jesus as Messiah	binary	Whether Jesus is confessed as the Christ.
jesus-resurrection	resurrection-proclamation	Resurrection proclamation	binary	Whether Jesus is proclaimed as having been raised from the dead.
kingdom-proximity	kingdom-proclamation	Kingdom proximity	binary	Whether the kingdom of God is presented as having drawn near.
martyr-witness	martyrdom-theology	Martyrdom as witness	binary	Whether martyrdom is explicitly presented as bearing witness to Christ and conforming to his passion.
monarchical-episcopate	church-order	Monarchical episcopate	binary	Whether a single bishop holds sole authority over the local church.
post-baptismal-penance	penance-practice	Post-baptismal penance	binary	Whether post-baptismal sin can be forgiven through a second repentance.
real-presence	eucharist-presence	Real presence	binary	Whether eucharist is identified as Christ's body and blood.
relic-veneration	holy-matter	Relic veneration	binary	Whether bodily remains of martyrs are treated as precious and gathered for commemorative celebration.
repentant-response	kingdom-proclamation	Repentant response	binary	Whether repentance is required in response to the proclamation.
rule-of-faith	apostolic-tradition	Rule of faith	binary	Whether a received rule of faith defines orthodox teaching.
sunday-assembly	eucharist-practice	Sunday assembly	binary	Whether Sunday is the regular day for eucharistic gathering.
teaching-authority	jesus-authority	Teaching authority	binary	Whether Jesus is portrayed as teaching with unique authority.
virgin-birth	mariology	Virgin birth	binary	Whether Jesus was truly born of a virgin through the Holy Spirit.
