event_id	event_label	event_type	event_kind	notes
antipas-martyrdom	Antipas's Martyrdom	martyrdom	simple	Revelation names Antipas as Christ's faithful witness who was killed in Pergamum.
arrest-of-jesus	Arrest of Jesus	political	simple	Jesus is seized in the passion narratives after Judas arrives with those who came to take him.
ascension-of-jesus	Ascension of Jesus	other	simple	Luke-Acts narrates Jesus being taken up after the resurrection appearances.
baptism-of-jesus	Baptism of Jesus	other	simple	Opening public-ministry event in the Gospel narratives.
burial-of-jesus	Burial of Jesus	other	simple	Joseph of Arimathea and Nicodemus bury Jesus in a tomb after the crucifixion.
calling-of-the-first-disciples	Calling of the First Disciples	mission	simple	Calling of Simon, Andrew, James, and John in Galilee.
christianization-of-aksum	Christianization of Aksum	mission	simple	Frumentius consecrated bishop by Athanasius and returns to Aksum c. 328–333; King Ezana converts; Christianity becomes state religion of the Aksumite Empire.
conversion-of-edessa	Conversion of Edessa	political	simple	Conversion of King Abgar VIII of Osroene to Christianity c. 200 AD, making Edessa likely the first Christian state; the historical kernel behind the later legendary Abgar-Jesus correspondence in Eusebius HE 1.13.
council-of-arles-314	Council of Arles (314)	council	simple	Church council convened by Emperor Constantine at Arles in Gaul, 314; addressed the Donatist controversy; attended by 3 British bishops (Eborius of York, Restitutus of London, Adelfius of Colchester/Lincoln); earliest firm attestation of organized British Christianity.
council-of-carthage-251	Council of Carthage (251)	council	simple	North African council convened under Cyprian c. 251 after the Decian persecution to establish policy on the readmission of the lapsed; distinguished categories of lapse and mandated graded penance under episcopal authority; opposed both the rigorist position (Novatian) and the lax granting of peace by confessors.
council-of-carthage-252	Council of Carthage (252) on Infant Baptism	council	simple	North African council convened under Cyprian c. 252 responding to Bishop Fidus's question about delaying infant baptism until the eighth day; the council unanimously ruled that baptism should not be delayed — infants may be baptized as early as the second or third day after birth; key witness for infant baptism as assumed standard practice.
council-of-carthage-256	Council of Carthage (256) on Rebaptism	council	simple	Council held September 1, 256 under Cyprian's presidency with 87 North African bishops present; each bishop individually declared heretical baptism invalid and mandated rebaptism of converts from heretical groups; the fullest surviving example of North African collegial episcopal practice; opposed by Pope Stephen I of Rome.
council-of-jerusalem	Council of Jerusalem	council	simple	Jerusalem meeting concerning Gentile inclusion and circumcision.
crucifixion-of-jesus	Crucifixion of Jesus	martyrdom	simple	Execution of Jesus under Roman authority in Jerusalem.
cyprians-martyrdom	Martyrdom of Cyprian	martyrdom	simple	Cyprian of Carthage was arrested, tried before the proconsul Galerius Maximus, and beheaded on September 14, 258 during the Valerianic persecution; the Acta Proconsularia preserve the trial proceedings; Pontius the Deacon wrote the earliest Latin Christian biography (Vita Cypriani) describing his death; Cyprian was the first African bishop to be martyred.
decian-persecution	Persecution under Decius	persecution	simple	Empire-wide persecution under Emperor Decius c. 250–251; required all citizens to sacrifice to Roman gods and obtain a certificate (libellus); many Christians lapsed; triggered the controversy over readmission of the lapsed that led to the Novatian schism.
domitian-persecution	Persecution under Domitian	persecution	simple	Imperial persecution of Christians and Jews under Emperor Domitian c. 95-96 CE; traditional context for Revelation and John's exile to Patmos; 1 Clement likely written in this setting.
dura-europos-church-construction	Dura-Europos Church Construction	other	simple	Construction of the earliest archaeologically identified Christian house-church at Dura-Europos c. 232 AD; includes a baptistery with wall paintings depicting biblical scenes; destroyed when Sasanians besieged the city c. 256.
fall-of-nisibis-363	Fall of Nisibis	political	simple	Emperor Jovian ceded Nisibis to Sasanian Persia by treaty in 363 after Julian's failed campaign; the Christian population including Ephrem the Syrian was forced to relocate, most moving to Edessa.
great-fire-of-rome	Great Fire of Rome	political	simple	Fire that devastated much of Rome in 64 CE under Nero.
herodian-persecution-of-jerusalem-church	Herodian Persecution of the Jerusalem Church	persecution	simple	Persecution under Herod in Acts 12, including James's death and Peter's arrest.
hippolytus-callistus-schism	Schism of Hippolytus and Callistus	schism	simple	Hippolytus set himself up as rival bishop of Rome c. 217 after the election of Callistus I, whom he accused of modalism and moral laxity; sometimes called the first antipope; the schism persisted through the pontificates of Urban I and Pontian until reconciliation in Sardinian exile c. 235.
ignatius-martyrdom	Martyrdom of Ignatius	martyrdom	simple	Ignatius of Antioch is transported to Rome and martyred in the arena under Trajan c. 108-110.
james-son-of-zebedee-martyrdom	Martyrdom of James son of Zebedee	martyrdom	simple	Execution of James the brother of John under Herod Agrippa I.
james-the-just-martyrdom	James the Just's Death	martyrdom	simple	Josephus reports James the brother of Jesus being delivered to be stoned during the high priesthood of Ananus.
jerusalem-persecution-after-stephen	Jerusalem Persecution after Stephen	persecution	simple	Great persecution against the Jerusalem church following Stephen's martyrdom.
jesus-before-pilate	Jesus before Pilate	political	simple	Jesus is handed over to Pontius Pilate, examined, and condemned in the passion narrative.
john-on-patmos	John on Patmos	persecution	simple	Revelation situates John on the island called Patmos because of the word of God and the testimony of Jesus.
john-the-baptists-martyrdom	John the Baptist's Death	martyrdom	simple	Herod Antipas imprisons and kills John, as narrated in Mark 6 and contextualized by Josephus.
justin-martyrdom	Martyrdom of Justin Martyr	martyrdom	simple	Justin Martyr is condemned and beheaded in Rome c. 165 under the prefecture of Rusticus during the reign of Marcus Aurelius.
last-supper	Last Supper	liturgical	simple	Jesus shares the final meal with his disciples before the passion and gives the bread and cup tradition.
lyons-persecution	Persecution at Lyons and Vienne	persecution	simple	Severe persecution of Christians at Lyons and Vienne in Gaul c. 177 AD under Marcus Aurelius; attested in a letter preserved by Eusebius; Irenaeus was sent as envoy to Rome during this crisis.
marcion-excommunication	Excommunication of Marcion from Rome	other	simple	Marcion excommunicated from the Roman church c. 144 CE after his rejection of the OT God and construction of a reduced canon; he thereafter organized his own rival churches.
