person_id	person_label	name_alt	name_native	birth_year_display	death_year_display	person_kind	notes
andrew	Andrew	Andrew the Apostle	Ἀνδρέας			individual	Brother of Simon Peter.
barnabas	Barnabas	Joseph Barnabas	Βαρνάβας		c. AD 61	individual	Early missionary coworker of Paul and prominent figure in Antioch.
caiaphas	Caiaphas	Joseph Caiaphas	Καϊάφας			individual	High priest in Jerusalem during the climactic Jerusalem episodes.
herod-antipas	Herod Antipas	Antipas	Ἡρῴδης Ἀντίπας			individual	Tetrarch of Galilee and Perea in the ministry narratives.
james-son-of-zebedee	James son of Zebedee	James the Greater	Ἰάκωβος			individual	One of the first called disciples.
james-the-just	James the Just	James brother of the Lord	Ἰάκωβος		c. AD 62	individual	Leading Jerusalem figure in the apostolic period.
jesus-of-nazareth	Jesus of Nazareth	Jesus; Yeshua	Ιησοῦς	c. 4 BC	c. AD 30	individual	Seed dataset focuses on public-ministry period claims.
john-son-of-zebedee	John son of Zebedee	John the Apostle	Ἰωάννης			individual	One of the first called disciples.
john-the-baptist	John the Baptist	John Baptist	Ἰωάννης ὁ βαπτιστής		c. AD 28/29	individual	Prophetic forerunner active in the Judean wilderness.
lydia	Lydia	Lydia of Thyatira	Λυδία			individual	Early believer associated with the church in Philippi.
paul	Paul	Saul of Tarsus; Paul the Apostle	Παῦλος	c. AD 5	c. AD 64/65	individual	Apostolic missionary central to Acts and several New Testament letters.
pontius-pilate	Pontius Pilate	Pilate	Πόντιος Πιλᾶτος			individual	Roman prefect of Judea during the later ministry period.
silas	Silas	Silvanus	Σιλᾶς			individual	Missionary coworker associated with Paul and the Jerusalem church.
simon-peter	Simon Peter	Cephas; Simon son of Jonah	Σίμων Πέτρος			individual	Disciple called during Galilean ministry.
