work_id	title_display	title_original	work_type	language_original	work_kind	notes
acts-of-the-apostles	Acts of the Apostles	Πράξεις Ἀποστόλων	chronicle	Greek	single_work	Narrative source for the apostolic expansion from Jerusalem into the wider Roman world.
acts-of-thomas	Acts of Thomas	ܦܪܟܣܝܣ ܕܬܐܘܡܐ	acta	Syriac	single_work	Early 3rd-century apocryphal acts (c. 220–240) composed in Syriac; narrates the apostle Thomas's journey to India; includes the Hymn of the Pearl and the Hymn of the Bride; emphasizes baptismal anointing, encratite continence, and eucharist; reflects eastern Syrian liturgical practice.
ad-autolycum	Ad Autolycum	Πρὸς Αὐτόλυκον	other	Greek	single_work	Theophilus of Antioch's three-book apology c. 180 defending Christian monotheism; first Christian use of the word Τριάς (Trinity); key witness for Logos theology and bodily resurrection.
ad-donatum	Ad Donatum (To Donatus)	Ad Donatum	other	Latin	single_work	Cyprian's earliest work c. 246, a personal letter to his friend Donatus describing his conversion and baptism; key witness for baptismal regeneration, the transformation of the Holy Spirit, and Cyprian's pre-episcopal spiritual formation.
address-to-origen	Address of Thanksgiving to Origen	Εἰς Ὠριγένην προσφωνητικός	other	Greek	single_work	Gregory Thaumaturgus's farewell speech to Origen delivered c. 238 upon leaving Caesarea; describes Origen's teaching method, curriculum, and pastoral approach; key primary source for Origen's pedagogical practice and the Caesarean school.
adversus-judaeos-tertullian	Adversus Judaeos	Adversus Iudaeos	treatise	Latin	single_work	Tertullian's anti-Jewish treatise (c. 198–208); argues that Christ's dominion has reached nations beyond Roman access including Britannia; contains an early rhetorical claim of universal Christian spread.
adversus-marcionem	Adversus Marcionem	Adversus Marcionem	other	Latin	single_work	Tertullian's five-book refutation of Marcion c. 207-208; defends the OT, the unity of the Creator and Redeemer, the reality of Christ's flesh, and bodily resurrection; the most comprehensive early anti-Marcionite polemic.
adversus-praxean	Adversus Praxean	Adversus Praxean	other	Latin	single_work	Tertullian's treatise against the modalist Praxeas c. 213; first systematic use of trinitas and tres personae una substantia; foundational document for Latin trinitarian vocabulary.
against-heresies	Against Heresies	Ἔλεγχος καὶ ἀνατροπὴ τῆς ψευδωνύμου γνώσεως	other	Greek	single_work	Irenaeus of Lyons's five-book refutation of Gnosticism c. 180, establishing apostolic succession, rule of faith, and the fourfold Gospel as the standard against Valentinian and Marcionite innovations.
annals-of-tacitus	Annals	Annales	chronicle	Latin	single_work	Roman historical work by Tacitus used here for Nero and the fire/persecution context in Rome.
antiquities-of-the-jews	Antiquities of the Jews	Ἰουδαϊκὴ Ἀρχαιολογία	chronicle	Greek	single_work	Josephus used as a near-ancient contextual witness.
apologeticum	Apologeticum	Apologeticum pro Christianis	other	Latin	single_work	Tertullian's defense of Christianity addressed to Roman magistrates c. 197; argues for freedom of religion and the innocence of Christians; source of the famous semen est sanguis Christianorum (the blood of Christians is seed).
apology-of-aristides	Apology of Aristides	Ἀπολογία Ἀριστείδου	other	Greek	single_work	Apology addressed to Hadrian or Antoninus Pius c. 125-130, defending Christians and describing their community life and practices.
apostolic-tradition	Apostolic Tradition	Ἀποστολικὴ Παράδοσις	other	Greek	single_work	Church order attributed to Hippolytus of Rome c. 215; contains the earliest known ordination rite for bishops, presbyters, and deacons; detailed baptismal liturgy including catechumenate, triple immersion, anointing, and eucharist; the earliest surviving eucharistic prayer (anaphora); regulations for church life including fasting, prayer hours, and care of the sick.
book-of-laws-of-countries	Book of the Laws of Countries	ܟܬܒܐ ܕܢܡܘ̈ܣܐ ܕܐܬܪ̈ܘܬܐ	dialogue	Syriac	single_work	Dialogue attributed to Bardaisan of Edessa (c. 196); defends human free will against astrological determinism; argues that diverse human customs across nations disprove fate; the earliest surviving Syriac literary composition.
commentary-on-daniel-hippolytus	Commentary on Daniel	Εἰς τὸν Δανιήλ	other	Greek	single_work	Hippolytus's commentary on Daniel c. 204; the earliest known patristic biblical commentary to survive in substantial form; contains the earliest reference to Christ's birth being celebrated on December 25; interprets Daniel's prophecies christologically; opposes imminent eschatological expectations.
commentary-on-diatessaron-ephrem	Commentary on the Diatessaron	ܦܘܫܩܐ ܕܐܘܢܓܠܝܘܢ ܕܡܚܠܛܐ	commentary	Syriac	single_work	Ephrem the Syrian's verse-by-verse commentary on Tatian's Diatessaron (c. 360–370); the primary witness to how the Syriac church read the gospel harmony; christological and typological exegesis throughout.
commentary-on-john-origen	Commentary on John	Εἰς τὸ κατὰ Ἰωάννην εὐαγγέλιον	other	Greek	single_work	Origen's massive commentary on the Gospel of John begun in Alexandria c. 226 and continued in Caesarea through c. 235; 32 books of which 9 survive substantially; foundational for Logos theology, eternal generation of the Son, and allegorical exegesis; includes polemics against Heracleon's Valentinian commentary on John.
commentary-on-matthew-origen	Commentary on Matthew	Εἰς τὸ κατὰ Ματθαῖον	other	Greek	single_work	Origen's commentary on Matthew composed in Caesarea c. 246–248; survives partially in Greek (Books 10–17) and in Latin translation; contains important eucharistic theology, ecclesiology, and discussion of church discipline; interprets Matthew 16:18 on Peter and the rock.
commentary-on-romans-origen	Commentary on Romans	Εἰς τὴν πρὸς Ῥωμαίους	other	Greek	single_work	Origen's 15-book commentary on Romans composed in Caesarea c. 243–244; survives mostly in Rufinus's Latin translation; contains the most explicit early statement that infant baptism is an apostolic tradition received from the apostles; covers justification, free will, and the relation of Law and Gospel.
community-rule	Community Rule	סרך היחד	other	Hebrew	single_work	Qumran sectarian rule text often designated 1QS.
contra-celsum	Contra Celsum (Against Celsus)	Κατὰ Κέλσου	other	Greek	single_work	Origen's eight-book refutation of the pagan philosopher Celsus's True Doctrine, composed c. 248; the most substantial early Christian apologetic work; defends the incarnation, virgin birth, resurrection, free will, Christian ethics, and the superiority of Christian revelation over Greek philosophy; preserves extensive fragments of Celsus's lost attack.
contra-noetum	Contra Noetum (Against Noetus)	Πρὸς Νοητόν	other	Greek	single_work	Hippolytus's treatise against the modalist Noetus of Smyrna, c. 200–210; defends the distinction of Father and Son against Patripassianism; affirms the Logos as a distinct divine person who became incarnate; important pre-Nicene trinitarian witness.
damascus-document	Damascus Document	מגילת ברית דמשק	other	Hebrew	single_work	Second Temple sectarian admonition and rule text associated with the Yahad tradition.
de-baptismo	De Baptismo	De Baptismo	other	Latin	single_work	Tertullian's treatise on baptism c. 198-200; earliest surviving monograph on baptism; describes trinitarian formula, sponsors, and recommends delaying baptism of children.
de-carne-christi	De Carne Christi	De Carne Christi	other	Latin	single_work	Tertullian's treatise c. 206-212 defending the reality of Christ's incarnation against docetists and Marcion; argues that Christ took real human flesh from the virgin Mary.
de-corona	De Corona Militis	De Corona Militis	other	Latin	single_work	Tertullian's treatise c. 211 on whether a Christian soldier may wear a military crown; argues that military service is incompatible with Christian faith due to idolatry and bloodshed.
de-dominica-oratione	De Dominica Oratione (On the Lord's Prayer)	De Dominica Oratione	other	Latin	single_work	Cyprian's treatise on the Lord's Prayer c. 252; systematic exposition of each petition; emphasizes unity, the Eucharist as daily bread, forgiveness, and the communal nature of Christian prayer; heavily influenced by Tertullian's De Oratione but adds distinctly ecclesiological and eucharistic dimensions.
de-habitu-virginum	De Habitu Virginum (On the Dress of Virgins)	De Habitu Virginum	other	Latin	single_work	Cyprian's treatise on virginity and ascetic discipline c. 249; his earliest treatise after conversion; exhorts consecrated virgins to modesty and spiritual discipline; key witness for the honor of virginity in the pre-Nicene North African church.
de-lapsis	De Lapsis (On the Lapsed)	De Lapsis	other	Latin	single_work	Cyprian's treatise c. 251 on the readmission of Christians who lapsed during the Decian persecution; distinguishes categories of lapse (sacrificati, thurificati, libellatici); insists on proper penance under episcopal authority before reconciliation; opposes both the rigorist denial of readmission (Novatian) and the lax granting of peace by confessors without episcopal sanction.
de-oratione	De Oratione	De Oratione	other	Latin	single_work	Tertullian's treatise on prayer c. 198-200; earliest known systematic exposition of the Lord's Prayer; includes eucharistic and fasting references.
de-paenitentia	De Paenitentia	De Poenitentia	other	Latin	single_work	Tertullian's early treatise on repentance c. 198-200; allows one post-baptismal repentance through church discipline; important early witness for penitential practice.
de-praescriptione-haereticorum	De Praescriptione Haereticorum	De Praescriptione adversus Haereticos	other	Latin	single_work	Tertullian's treatise c. 200 arguing that heretics have no right to appeal to Scripture; the Church alone possesses the apostolic tradition and succession that guarantees correct interpretation.
de-principiis	De Principiis (On First Principles)	Περὶ Ἀρχῶν	other	Greek	single_work	Origen's systematic theological work composed in Alexandria c. 220–230; the first attempt at a comprehensive Christian theology; four books covering God and the Trinity, the created world, free will, and Scripture; source for the doctrines of eternal generation of the Son, pre-existence of souls, universal restoration (apokatastasis), and allegorical exegesis; preserved mostly through Rufinus's sanitized Latin translation and fragments in Justinian's condemnation.
de-resurrectione-carnis	De Resurrectione Carnis	De Resurrectione Carnis	other	Latin	single_work	Tertullian's treatise c. 206-212 defending the literal bodily resurrection of the flesh against Gnostic spiritualizers.
