line	year_bucket	decade_end	city_ancient	country_modern	church_presence_status	church_planted_year_scholarly
550	0170	179	Carthage	Tunisia	attested	180
1534	0060	69	Patmos	Greece	attested	95
1535	0070	79	Patmos	Greece	attested	95
1536	0080	89	Patmos	Greece	attested	95
1568	0080	89	Sinope	Türkiye	attested	100
1569	0090	99	Sinope	Türkiye	attested	100
1657	0290	299	Vagharshapat	Armenia	attested	301
1746	0090	99	Samosata	Türkiye	attested	100
2174	0320	329	Mtskheta	Georgia	attested	330
2496	0040	49	Gortyna	Greece	attested	57
2528	0050	59	Syracuse	Italy	attested	60
2619	0060	69	Ostia	Italy	attested	100
2620	0070	79	Ostia	Italy	attested	100
2621	0080	89	Ostia	Italy	attested	100
2622	0090	99	Ostia	Italy	attested	100
2649	0050	59	Rhegium	Italy	attested	60
2695	0190	199	Cirta	Algeria	attested	200
2721	0190	199	Leptis Magna	Libya	attested	200
2747	0190	199	Philippopolis	Bulgaria	attested	200
2888	0080	89	Edessa	Türkiye	attested	100
2889	0090	99	Edessa	Türkiye	attested	100
2920	0140	149	Nisibis	Türkiye	attested	150
2946	0140	149	Seleucia-Ctesiphon	Iraq	attested	150
2977	0190	199	Tomis	Romania	attested	200
3003	0190	199	Oxyrhynchus	Egypt	attested	200
3028	0180	189	Emesa	Syria	attested	200
3029	0190	199	Emesa	Syria	attested	200
3216	0140	149	Chalcedon	Türkiye	attested	150
3337	0190	199	Palmyra	Syria	attested	200
3428	0070	79	Tiberias	Israel	attested	100
3429	0080	89	Tiberias	Israel	attested	100
3430	0090	99	Tiberias	Israel	attested	100
3487	0180	189	Ravenna	Italy	attested	200
3488	0190	199	Ravenna	Italy	attested	200
3514	0190	199	Carnuntum	Austria	attested	200
3597	0180	189	Bononia	Italy	attested	200
3598	0190	199	Bononia	Italy	attested	200
3623	0180	189	Serdica	Bulgaria	attested	200
3624	0190	199	Serdica	Bulgaria	attested	200
3645	0240	249	Gangra	Türkiye	attested	250
3660	0130	139	Amida	Türkiye	attested	150
3661	0140	149	Amida	Türkiye	attested	150
3700	0190	199	Tolosa	France	attested	200
3725	0180	189	Narbo	France	attested	200
3726	0190	199	Narbo	France	attested	200
3752	0190	199	Hispalis	Spain	attested	200
3794	0190	199	Valentia	Spain	attested	200
3820	0190	199	Barcinonae	Spain	attested	200
