line	year_bucket	city_ancient	country_modern	denomination_label_historic	church_presence_status
515	0080	Edessa	Türkiye	claimed tradition	claimed_tradition
516	0090	Edessa	Türkiye	claimed tradition	claimed_tradition
517	0100	Edessa	Türkiye	claimed tradition	claimed_tradition
518	0110	Edessa	Türkiye	claimed tradition	claimed_tradition
519	0120	Edessa	Türkiye	claimed tradition	claimed_tradition
643	0080	Byzantium	Türkiye	claimed tradition	claimed_tradition
644	0090	Byzantium	Türkiye	claimed tradition	claimed_tradition
689	0110	Seleucia-Ctesiphon	Iraq	claimed tradition	probable
690	0120	Seleucia-Ctesiphon	Iraq	claimed tradition	probable
1250	0070	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1251	0080	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1252	0090	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1253	0100	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1254	0110	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1255	0120	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1256	0130	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1257	0140	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1258	0150	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1259	0160	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1260	0170	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1261	0180	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1262	0190	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1263	0200	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1264	0210	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1265	0220	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1266	0230	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1267	0240	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1268	0250	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1269	0260	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1270	0270	Malabar Coast (India)	India	claimed_tradition	claimed_tradition
1653	0250	Vagharshapat	Armenia	claimed_tradition	claimed_tradition
1654	0260	Vagharshapat	Armenia	claimed_tradition	claimed_tradition
2170	0280	Mtskheta	Georgia	claimed_tradition	claimed_tradition
