year_bucket	city_ancient	country_modern	row_count	line_numbers
0040	Joppa	Israel	2	130,2828
0050	Joppa	Israel	2	131,2829
0060	Joppa	Israel	2	132,2830
0070	Joppa	Israel	2	133,2831
0080	Joppa	Israel	2	134,2832
0090	Joppa	Israel	2	135,2833
0100	Joppa	Israel	2	136,2834
0110	Joppa	Israel	2	137,2835
0120	Joppa	Israel	2	138,2836
0130	Joppa	Israel	2	139,2837
0060	Edessa	Türkiye	2	513,2886
0070	Edessa	Türkiye	2	514,2887
0080	Edessa	Türkiye	2	515,2888
0090	Edessa	Türkiye	2	516,2889
0100	Edessa	Türkiye	2	517,2890
0110	Edessa	Türkiye	2	518,2891
0120	Edessa	Türkiye	2	519,2892
0130	Edessa	Türkiye	2	520,2893
0140	Edessa	Türkiye	2	521,2894
0150	Edessa	Türkiye	2	522,2895
0160	Edessa	Türkiye	2	523,2896
0170	Edessa	Türkiye	2	524,2897
0180	Edessa	Türkiye	2	525,2898
0190	Edessa	Türkiye	2	526,2899
0200	Edessa	Türkiye	2	527,2900
0210	Edessa	Türkiye	2	528,2901
0220	Edessa	Türkiye	2	529,2902
0230	Edessa	Türkiye	2	530,2903
0240	Edessa	Türkiye	2	531,2904
0250	Edessa	Türkiye	2	532,2905
0260	Edessa	Türkiye	2	533,2906
0270	Edessa	Türkiye	2	534,2907
0280	Edessa	Türkiye	2	535,2908
0290	Edessa	Türkiye	2	536,2909
0300	Edessa	Türkiye	2	537,2910
0310	Edessa	Türkiye	2	538,2911
0320	Edessa	Türkiye	2	539,2912
0330	Edessa	Türkiye	2	540,2913
0340	Edessa	Türkiye	2	541,2914
0350	Edessa	Türkiye	2	542,2915
0100	Seleucia-Ctesiphon	Iraq	2	688,2942
0110	Seleucia-Ctesiphon	Iraq	2	689,2943
0120	Seleucia-Ctesiphon	Iraq	2	690,2944
0130	Seleucia-Ctesiphon	Iraq	2	691,2945
0140	Seleucia-Ctesiphon	Iraq	2	692,2946
0150	Seleucia-Ctesiphon	Iraq	2	693,2947
0160	Seleucia-Ctesiphon	Iraq	2	694,2948
0170	Seleucia-Ctesiphon	Iraq	2	695,2949
0180	Seleucia-Ctesiphon	Iraq	2	696,2950
0190	Seleucia-Ctesiphon	Iraq	2	697,2951
0200	Seleucia-Ctesiphon	Iraq	2	698,2952
0210	Seleucia-Ctesiphon	Iraq	2	699,2953
0220	Seleucia-Ctesiphon	Iraq	2	700,2954
0230	Seleucia-Ctesiphon	Iraq	2	701,2955
0240	Seleucia-Ctesiphon	Iraq	2	702,2956
0250	Seleucia-Ctesiphon	Iraq	2	703,2957
0260	Seleucia-Ctesiphon	Iraq	2	704,2958
0270	Seleucia-Ctesiphon	Iraq	2	705,2959
0280	Seleucia-Ctesiphon	Iraq	2	706,2960
0290	Seleucia-Ctesiphon	Iraq	2	707,2961
0300	Seleucia-Ctesiphon	Iraq	2	708,2962
0310	Seleucia-Ctesiphon	Iraq	2	709,2963
0320	Seleucia-Ctesiphon	Iraq	2	710,2964
0330	Seleucia-Ctesiphon	Iraq	2	711,2965
0340	Seleucia-Ctesiphon	Iraq	2	712,2966
0350	Seleucia-Ctesiphon	Iraq	2	713,2967
0150	Nisibis	Türkiye	2	714,2921
0160	Nisibis	Türkiye	2	715,2922
0170	Nisibis	Türkiye	2	716,2923
0180	Nisibis	Türkiye	2	717,2924
0190	Nisibis	Türkiye	2	718,2925
0200	Nisibis	Türkiye	2	719,2926
0210	Nisibis	Türkiye	2	720,2927
0220	Nisibis	Türkiye	2	721,2928
0230	Nisibis	Türkiye	2	722,2929
0240	Nisibis	Türkiye	2	723,2930
0250	Nisibis	Türkiye	2	724,2931
0260	Nisibis	Türkiye	2	725,2932
0270	Nisibis	Türkiye	2	726,2933
0280	Nisibis	Türkiye	2	727,2934
0290	Nisibis	Türkiye	2	728,2935
0300	Nisibis	Türkiye	2	729,2936
0310	Nisibis	Türkiye	2	730,2937
0320	Nisibis	Türkiye	2	731,2938
0330	Nisibis	Türkiye	2	732,2939
0340	Nisibis	Türkiye	2	733,2940
0350	Nisibis	Türkiye	2	734,2941
