city_id_suggested	city_ancient	country_modern	city_modern_mode	lat_mode	lon_mode	location_precision_mode	rows	year_min	year_max	city_modern_variants	lat_variants	lon_variants	precision_variants	planted_scholarly_variants
aksum-axum-axum	Aksum (Axum)	Ethiopia	Axum	14.12109	38.72337	exact	5	0310	0350	1	1	1	1	1
alexandria-alexandria	Alexandria	Egypt	Alexandria	31.20010	29.91870	exact	32	0040	0350	1	1	1	1	1
amida-diyarbak-r	Amida	Türkiye	Diyarbakır	37.91440	40.23060	approx_city	26	0100	0350	1	1	1	1	1
ancyra-ankara	Ancyra	Türkiye	Ankara	39.91670	32.86670	approx_city	32	0040	0350	1	1	1	1	1
antinoopolis-sheikh-ibada	Antinoopolis	Egypt	Sheikh Ibada	27.81270	30.87890	approx_city	23	0130	0350	1	1	1	1	1
antioch-antakya	Antioch	Türkiye	Antakya	36.20655	36.15722	exact	32	0040	0350	1	1	1	1	1
apamea-afamia	Apamea	Syria	Afamia	35.41670	36.40830	approx_city	26	0100	0350	1	1	1	1	1
aquileia-aquileia	Aquileia	Italy	Aquileia	45.76940	13.36930	approx_city	31	0050	0350	1	1	1	1	1
arelate-arles	Arelate	France	Arles	43.67670	4.62780	approx_city	26	0100	0350	1	1	1	1	1
ascalon-ashkelon	Ascalon	Israel	Ashkelon	31.66880	34.57420	approx_city	22	0040	0250	1	1	1	1	1
athens-athens	Athens	Greece	Athens	37.97550	23.73480	exact	31	0050	0350	1	1	1	1	1
attalia-antalya	Attalia	Türkiye	Antalya	36.88410	30.70560	approx_city	32	0040	0350	1	1	1	1	1
augusta-treverorum-trier	Augusta Treverorum	Germany	Trier	49.75660	6.64160	approx_city	26	0100	0350	1	1	1	1	1
augusta-vindelicorum-augsburg	Augusta Vindelicorum	Germany	Augsburg	48.37140	10.89820	approx_city	16	0200	0350	1	1	1	1	1
azotus-ashdod	Azotus	Israel	Ashdod	31.81540	34.64980	approx_city	17	0040	0200	1	1	1	1	1
barcinonae-barcelona	Barcinonae	Spain	Barcelona	41.38510	2.17340	approx_city	26	0100	0350	1	1	1	1	1
beroia-veria	Beroia	Greece	Veria	40.52280	22.20130	approx_city	31	0050	0350	1	1	1	1	1
berytus-beirut	Berytus	Lebanon	Beirut	33.88690	35.51310	approx_city	32	0040	0350	1	1	1	1	1
bethany-al-eizariya	Bethany	Palestinian Territories	Al-Eizariya	31.77690	35.26360	approx_city	32	0040	0350	1	1	1	1	1
bethlehem-bethlehem	Bethlehem	Palestinian Territories	Bethlehem	31.70570	35.20240	approx_city	32	0040	0350	1	1	1	1	1
bononia-bologna	Bononia	Italy	Bologna	44.49490	11.34260	approx_city	26	0100	0350	1	1	1	1	1
bostra-bosra	Bostra	Syria	Bosra	32.51670	36.48330	approx_city	26	0100	0350	1	1	1	1	1
brundisium-brindisi	Brundisium	Italy	Brindisi	40.62820	17.94240	approx_city	22	0040	0250	1	1	1	1	1
byzantium-istanbul	Byzantium	Türkiye	Istanbul	41.00820	28.97840	exact	24	0080	0310	1	1	1	1	1
byzantium-constantinople-istanbul	Byzantium / Constantinople	Türkiye	Istanbul	41.00820	28.97840	exact	1	0320	0320	1	1	1	1	1
caesaraugusta-zaragoza	Caesaraugusta	Spain	Zaragoza	41.65180	-0.87800	approx_city	30	0060	0350	1	1	1	1	1
caesarea-cappadocia-kayseri	Caesarea Cappadocia	Türkiye	Kayseri	38.72250	35.48750	exact	21	0150	0350	1	1	1	1	1
caesarea-maritima-caesarea	Caesarea Maritima	Israel	Caesarea	32.4969	34.8965	exact	32	0040	0350	1	1	1	1	1
caesarea-philippi-banias	Caesarea Philippi	Israel	Banias	33.24830	35.69330	approx_city	32	0040	0350	1	1	1	1	1
capernaum-kefar-nahum	Capernaum	Israel	Kefar Nahum	32.88120	35.57540	approx_city	32	0040	0350	1	1	1	1	1
capua-santa-maria-capua-vetere	Capua	Italy	Santa Maria Capua Vetere	41.08250	14.25250	approx_city	32	0040	0350	1	1	1	1	1
carnuntum-petronell-carnuntum	Carnuntum	Austria	Petronell-Carnuntum	48.11190	16.86220	approx_city	26	0100	0350	1	1	1	1	1
carrhae-harran	Carrhae	Türkiye	Harran	36.86110	39.02890	approx_city	32	0040	0350	1	1	1	1	1
carthage-carthage	Carthage	Tunisia	Carthage	36.85280	10.32330	exact	26	0100	0350	1	1	1	1	1
cenchreae-kenchreai	Cenchreae	Greece	Kenchreai	37.86830	23.00170	approx_city	31	0050	0350	1	1	1	1	1
chalcedon-kad-koy-istanbul	Chalcedon	Türkiye	Kadıköy (Istanbul)	40.99060	29.03030	approx_city	26	0100	0350	1	1	1	1	1
cirta-constantine	Cirta	Algeria	Constantine	36.36500	6.61470	approx_city	26	0100	0350	1	1	1	1	1
colonia-agrippina-cologne	Colonia Agrippina	Germany	Cologne	50.93330	6.95000	approx_city	26	0100	0350	1	1	1	1	1
colossae-near-honaz	Colossae	Türkiye	near Honaz	37.78720	29.21670	approx_city	15	0060	0200	1	1	1	1	1
constantinople-istanbul	Constantinople	Türkiye	Istanbul	41.00820	28.97840	exact	3	0330	0350	1	1	1	1	1
corduba-cordoba	Corduba	Spain	Cordoba	37.88280	-4.77960	approx_city	30	0060	0350	1	1	1	1	1
corinth-ancient-corinth	Corinth	Greece	Ancient Corinth	37.90800	22.87660	exact	31	0050	0350	1	1	1	1	1
cyprus-salamis-famagusta-area	Cyprus / Salamis	Cyprus	Famagusta area	35.18614	33.90571	exact	32	0040	0350	1	1	1	1	1
cyrene-shahhat	Cyrene	Libya	Shahhat	32.81850	21.85910	approx_city	32	0040	0350	1	1	1	1	1
damascus-damascus	Damascus	Syria	Damascus	33.5138	36.2922	exact	32	0040	0350	1	1	1	1	1
derbe-near-karaman	Derbe	Türkiye	near Karaman	37.36670	33.38330	approx_city	16	0050	0200	1	1	1	1	1
