key_figure_canonical	person_id_suggested	mentions	sample_raw_variants
unnamed bishops	unnamed-bishops	2698	unnamed bishops ; unnamed bishops (after Afra's martyrdom) ; unnamed bishops (after Beryllus) ; unnamed bishops (after Eborius) ; unnamed bishops (after Fructuosus) ; unnamed bishops (after Irenaeus's martyrdom)
unnamed missionaries	unnamed-missionaries	419	unnamed missionaries
unnamed local community	unnamed-local-community	96	unnamed local community
unnamed community	unnamed-community	57	unnamed community
Paul	paul	44	Paul ; Paul (3-day stop) ; Paul (arrived ~60-62) ; Paul (conversion/early activity) ; Paul (imprisoned ~58-60 AD) ; Paul (one night)
unnamed	unnamed	37	unnamed ; unnamed (trad. Nambuthiri converts) ; unnamed (trad.)
unnamed elders	unnamed-elders	22	unnamed elders
Montanist leaders	montanist-leaders	19	Montanist leaders ; Montanist leaders (after founders die)
Origen	origen	18	Origen ; Origen (d. ~254) ; Origen (dies at Tyre ~254) ; Origen (expelled ~232) ; Origen (heads school at ~18) ; Origen (visiting c.244)
Hosius of Corduba	hosius-of-corduba	17	Hosius of Corduba ; Hosius of Corduba (advisor to Constantine) ; Hosius of Corduba (bishop) ; Hosius of Corduba (prominent in Spain) ; Hosius of Corduba (young)
Barnabas	barnabas	15	Barnabas ; Barnabas (departing) ; Barnabas (return visit, Acts 14:21) ; Barnabas (tradition: martyr at Salamis)
Palut	palut	14	Palut ; Palut (bishop c.200) ; Palut (bishop) ; Palut (trad.)
Ephrem the Syrian	ephrem-the-syrian	14	Ephrem the Syrian ; Ephrem the Syrian (Nisibis/Edessa) ; Ephrem the Syrian (active in Nisibis school) ; Ephrem the Syrian (active) ; Ephrem the Syrian (arrives ~363) ; Ephrem the Syrian (born ~306 AD)
Peter	peter	13	Peter ; Peter (Gal 2:11) ; Peter (trad.) ; Peter (visiting)
Jacob of Nisibis	jacob-of-nisibis	13	Jacob of Nisibis ; Jacob of Nisibis (bishop c.300-338) ; Jacob of Nisibis (bishop) ; Jacob of Nisibis (bishop, attends Nicaea) ; Jacob of Nisibis (bishop, d.338) ; Jacob of Nisibis (bishop, ~300-338 AD)
unnamed brothers	unnamed-brothers	12	unnamed brothers
Philip the Evangelist	philip-the-evangelist	9	Philip the Evangelist
Silas	silas	9	Silas
Justin Martyr	justin-martyr	9	Justin Martyr ; Justin Martyr (arriving) ; Justin Martyr (born here c.100 AD) ; Justin Martyr (d. ~165) ; Justin Martyr (from Neapolis) ; Justin Martyr (young)
Timothy	timothy	9	Timothy ; Timothy (nearby Lystra/Iconium region) ; Timothy (young)
Bardaisan of Edessa	bardaisan-of-edessa	9	Bardaisan of Edessa ; Bardaisan of Edessa (d.222) ; Bardaisan of Edessa (young)
Tertullian	tertullian	9	Tertullian ; Tertullian (Montanist phase) ; Tertullian (b. c.160) ; Tertullian (d. ~225) ; Tertullian (young)
Constantine I	constantine-i	8	Constantine I ; Constantine I (consulting) ; Constantine I (d.337 at Nicomedia) ; Constantine I (western emperor here until ~316)
John the Apostle	john-the-apostle	8	John the Apostle ; John the Apostle (d. c.100, trad.) ; John the Apostle (exiled) ; John the Apostle (trad.)
Gregory the Elder	gregory-the-elder	8	Gregory the Elder (bishop from ~328 AD, after conversion) ; Gregory the Elder (bishop) ; Gregory the Elder (bishop; attends Nicaea)
Alexander of Jerusalem	alexander-of-jerusalem	7	Alexander of Jerusalem
Paul of Samosata	paul-of-samosata	7	Paul of Samosata ; Paul of Samosata (bishop of Antioch, Zenobia's protege) ; Paul of Samosata (bishop of Antioch, from here) ; Paul of Samosata (deposed c.268) ; Paul of Samosata (from here) ; Paul of Samosata (young)
Priscilla	priscilla	7	Priscilla ; Priscilla (expelled ~49) ; Priscilla (returned)
Demetrius	demetrius	7	Demetrius
Polycarp of Smyrna	polycarp-of-smyrna	7	Polycarp of Smyrna ; Polycarp of Smyrna (martyred ~155/156)
Eusebius of Nicomedia	eusebius-of-nicomedia	7	Eusebius of Nicomedia ; Eusebius of Nicomedia (d.341) ; Eusebius of Nicomedia (then) ; Eusebius of Nicomedia (young)
Papa bar Gaggai	papa-bar-gaggai	7	Papa bar Gaggai ; Papa bar Gaggai (bishop c.280-329) ; Papa bar Gaggai (c.280-329) ; Papa bar Gaggai (later)
Firmilian of Caesarea	firmilian-of-caesarea	7	Firmilian of Caesarea ; Firmilian of Caesarea (d. ~268)
Gregory the Illuminator	gregory-the-illuminator	7	Gregory the Illuminator (Catholicos) ; Gregory the Illuminator (born c.257) ; Gregory the Illuminator (d.~328-331) ; Gregory the Illuminator (imprisoned ~287-298) ; Gregory the Illuminator (imprisoned) ; Gregory the Illuminator (released)
Papa bar Aggai	papa-bar-aggai	7	Papa bar Aggai (Catholicos) ; Papa bar Aggai (Catholicos, active from ~310) ; Papa bar Aggai (Catholicos, c.310-329) ; Papa bar Aggai (Catholicos, d.329)
Nicholas of Myra	nicholas-of-myra	7	Nicholas of Myra (bishop) ; Nicholas of Myra (bishop, born c.270 AD) ; Nicholas of Myra (bishop, d. c.343) ; Nicholas of Myra (bishop; attends Nicaea) ; Nicholas of Myra (bishop; imprisoned during Diocletian persecution)
Pachomius	pachomius	7	Pachomius (abbot) ; Pachomius (abbot, d.348) ; Pachomius (born ~292 AD) ; Pachomius (converts c.313 AD) ; Pachomius (founds Tabennisi monastery c.318-320 AD) ; Pachomius (young)
unnamed disciples	unnamed-disciples	6	unnamed disciples
Pamphilus of Caesarea	pamphilus-of-caesarea	6	Pamphilus of Caesarea
Polycarp	polycarp	6	Polycarp (martyred ~155/156) ; Polycarp (visiting ~155) ; Polycarp (visiting) ; Polycarp (wrote c.110-115) ; Polycarp (young)
Irenaeus	irenaeus	6	Irenaeus ; Irenaeus (appeals to) ; Irenaeus (arriving from Asia) ; Irenaeus (visiting from Lyon) ; Irenaeus (young)
Shimun bar Sabbae	shimun-bar-sabbae	6	Shimun bar Sabbae ; Shimun bar Sabbae (Catholicos, d.341; martyred) ; Shimun bar Sabbae (bishop c.329-344) ; Shimun bar Sabbae (martyred 341) ; Shimun bar Sabbae (young)
Gregory Thaumaturgus	gregory-thaumaturgus	6	Gregory Thaumaturgus ; Gregory Thaumaturgus (bishop) ; Gregory Thaumaturgus (bishop, d.~270) ; Gregory Thaumaturgus (student of Origen) ; Gregory Thaumaturgus (young)
Jesus	jesus	6	Jesus ; Jesus (risen)
Saturninus	saturninus	6	Saturninus (1st bishop trad., martyred ~250 AD) ; Saturninus (bishop, martyred ~250 AD)
Simeon bar Cleophas	simeon-bar-cleophas	5	Simeon bar Cleophas
Justus I	justus-i	5	Justus I
Macarius I	macarius-i	5	Macarius I
Ignatius of Antioch	ignatius-of-antioch	5	Ignatius of Antioch ; Ignatius of Antioch (arrested ~107-117)
Serapion of Antioch	serapion-of-antioch	5	Serapion of Antioch ; Serapion of Antioch (c.190) ; Serapion of Antioch (soon)
Theoctistus of Caesarea	theoctistus-of-caesarea	5	Theoctistus of Caesarea
