modern_mapping_token	modern_mapping_id_suggested	mentions
multiple heirs	multiple-heirs	3017
Catholic	catholic	2118
Eastern Orthodox	eastern-orthodox	1985
Multiple heirs	multiple-heirs	395
Syriac Orthodox	syriac-orthodox	251
Assyrian Church of the East	assyrian-church-of-the-east	168
Coptic Orthodox	coptic-orthodox	129
Roman Catholic	roman-catholic	97
Multiple (Catholic	multiple-catholic	63
Protestant	protestant	63
Orthodox heirs)	orthodox-heirs	63
Eastern Orthodox (Antioch)	eastern-orthodox-antioch	32
Eastern Orthodox (Church of Cyprus)	eastern-orthodox-church-of-cyprus	32
Greek Orthodox of Alexandria	greek-orthodox-of-alexandria	32
Maronite	maronite	31
Protestant heirs	protestant-heirs	31
Syrian Catholic	syrian-catholic	30
Assyrian	assyrian	30
Indian Orthodox	indian-orthodox	29
Chaldean Catholic	chaldean-catholic	26
Catholic heirs	catholic-heirs	24
multiple heirs (Latin West)	multiple-heirs-latin-west	21
Church of the East heirs	church-of-the-east-heirs	21
Anglican	anglican	17
Armenian Apostolic Church (Oriental Orthodox)	armenian-apostolic-church-oriental-orthodox	11
Georgian Orthodox Church	georgian-orthodox-church	8
Donatist	donatist	6
Donatist (North Africa)	donatist-north-africa	5
Syro-Malabar Catholic	syro-malabar-catholic	5
Ethiopian Orthodox Tewahedo (later)	ethiopian-orthodox-tewahedo-later	5
Indian Orthodox (Malankara)	indian-orthodox-malankara	1
Catholic (Syro-Malabar	catholic-syro-malabar	1
Syro-Malankara)	syro-malankara	1
Multiple heirs (extinct community)	multiple-heirs-extinct-community	1
