modern_denom_mapping_raw	rows
Eastern Orthodox; multiple heirs	909
Eastern Orthodox; Catholic; multiple heirs	854
Catholic; multiple heirs	854
Multiple heirs	395
Coptic Orthodox; Catholic; multiple heirs	97
Syriac Orthodox; Assyrian Church of the East; Catholic; multiple heirs	84
Multiple (Catholic; Protestant; Orthodox heirs)	63
Eastern Orthodox; Catholic	50
Eastern Orthodox (Antioch); Syriac Orthodox; Catholic	32
Eastern Orthodox (Church of Cyprus)	32
Roman Catholic; Eastern Orthodox; multiple heirs	32
Coptic Orthodox; Greek Orthodox of Alexandria; Catholic	32
Syriac Orthodox; Assyrian Church of the East; multiple heirs	32
Eastern Orthodox; Maronite; Catholic	31
Eastern Orthodox; Protestant heirs	31
Syriac Orthodox; Syrian Catholic; Assyrian	30
Assyrian Church of the East; Chaldean Catholic	26
Assyrian Church of the East; Catholic; multiple heirs	26
Eastern Orthodox; Syriac Orthodox; Catholic; multiple heirs	26
Eastern Orthodox; Syriac Orthodox; multiple heirs	26
Catholic; Eastern Orthodox; multiple heirs	26
Indian Orthodox; Catholic heirs	24
Roman Catholic; multiple heirs	22
Roman Catholic; multiple heirs (Latin West)	21
Syriac Orthodox; Church of the East heirs	21
Anglican; Roman Catholic; multiple heirs	17
Armenian Apostolic Church (Oriental Orthodox)	11
Georgian Orthodox Church	8
Catholic; Donatist; multiple heirs	6
Roman Catholic; Donatist (North Africa)	5
Indian Orthodox; Syro-Malabar Catholic; multiple heirs	5
Ethiopian Orthodox Tewahedo (later)	5
Indian Orthodox (Malankara); Catholic (Syro-Malabar; Syro-Malankara); multiple heirs	1
Multiple heirs (extinct community)	1
