historic_sect_token	sect_id_suggested	mentions
proto-orthodox	proto-orthodox	3095
Nicene proto-orthodox	nicene-proto-orthodox	472
Syriac proto-orthodox	syriac-proto-orthodox	116
Jewish Christianity / proto-orthodox	jewish-christianity-proto-orthodox	42
claimed_tradition	claimed-tradition	24
Jewish Christian	jewish-christian	22
Montanist	montanist	17
Nicene Syriac	nicene-syriac	15
claimed tradition	claimed-tradition	9
Church of the East	church-of-the-east	7
Arian (dominant)	arian-dominant	6
Bardaisanite	bardaisanite	6
Donatist (rival)	donatist-rival	6
Arian-leaning	arian-leaning	4
Montanist (condemned)	montanist-condemned	4
Nicene minority	nicene-minority	3
proto-orthodox (Quartodeciman)	proto-orthodox-quartodeciman	3
Jewish Christianity (trad.)	jewish-christianity-trad	3
Bardaisanite (heterodox)	bardaisanite-heterodox	3
Donatist (dominant)	donatist-dominant	3
Syriac Jewish Christian	syriac-jewish-christian	3
Bardesanite	bardesanite	3
Eustathian ascetic	eustathian-ascetic	3
proto-orthodox (contested)	proto-orthodox-contested	2
Arian (dominant in region)	arian-dominant-in-region	2
Nicene present	nicene-present	2
Novatianist controversy	novatianist-controversy	2
proto-orthodox minority	proto-orthodox-minority	2
proto-orthodox / Church of the East	proto-orthodox-church-of-the-east	2
Church of the East (suppressed)	church-of-the-east-suppressed	2
Homoiousian (Semi-Arian)	homoiousian-semi-arian	2
Church of the East / proto-orthodox	church-of-the-east-proto-orthodox	2
Marcionite (rival)	marcionite-rival	2
Donatist (rival from 311)	donatist-rival-from-311	2
gnostic presence	gnostic-presence	1
anti-Marcionite	anti-marcionite	1
rigorist schism	rigorist-schism	1
Novatianist schism	novatianist-schism	1
Novatianist minority	novatianist-minority	1
Basilidean gnosticism competing	basilidean-gnosticism-competing	1
Basilidean gnosticism	basilidean-gnosticism	1
gnostic schools	gnostic-schools	1
Meletian schism	meletian-schism	1
Arian controversy beginning	arian-controversy-beginning	1
Arian opposition	arian-opposition	1
Montanist influence	montanist-influence	1
Montanist (Tertullian)	montanist-tertullian	1
Donatist schism beginning	donatist-schism-beginning	1
Donatist schism (311-312)	donatist-schism-311-312	1
Donatist vs. proto-orthodox	donatist-vs-proto-orthodox	1
Arian (Eusebius)	arian-eusebius	1
Nicene (majority at Nicaea)	nicene-majority-at-nicaea	1
Nicene vs. Arian contested	nicene-vs-arian-contested	1
Arian (dominant under Constantius II)	arian-dominant-under-constantius-ii	1
anti-Montanist	anti-montanist	1
Arian	arian	1
Syriac proto-orthodox (under persecution)	syriac-proto-orthodox-under-persecution	1
Monarchian	monarchian	1
