denomination_label_historic_raw	rows
proto-orthodox	3034
Nicene proto-orthodox	464
Syriac proto-orthodox	113
Jewish Christianity / proto-orthodox	42
claimed_tradition	24
Jewish Christian; proto-orthodox	22
Montanist	17
Nicene Syriac	15
claimed tradition	9
Church of the East	7
proto-orthodox; Bardaisanite	6
Montanist (condemned)	4
Arian (dominant); Nicene minority	3
proto-orthodox (Quartodeciman)	3
Jewish Christianity (trad.)	3
Arian (dominant)	3
proto-orthodox; Donatist (rival)	3
Nicene proto-orthodox; Donatist (rival)	3
Syriac Jewish Christian; proto-orthodox	3
Syriac proto-orthodox; Bardesanite	3
Nicene proto-orthodox; Eustathian ascetic	3
proto-orthodox (contested)	2
Arian (dominant in region); Nicene present	2
Arian-leaning	2
proto-orthodox; Novatianist controversy	2
Bardaisanite (heterodox); proto-orthodox	2
Donatist (dominant); proto-orthodox minority	2
proto-orthodox / Church of the East	2
Church of the East (suppressed)	2
Homoiousian (Semi-Arian)	2
Church of the East / proto-orthodox	2
proto-orthodox; Marcionite (rival)	2
proto-orthodox; Donatist (rival from 311)	2
Nicene proto-orthodox; Arian-leaning	1
proto-orthodox; gnostic presence	1
proto-orthodox; anti-Marcionite	1
proto-orthodox; rigorist schism	1
proto-orthodox; Novatianist schism	1
proto-orthodox; Novatianist minority	1
proto-orthodox; Basilidean gnosticism competing	1
proto-orthodox; Basilidean gnosticism	1
proto-orthodox; gnostic schools	1
proto-orthodox; Meletian schism	1
proto-orthodox; Arian controversy beginning	1
Nicene proto-orthodox; Arian opposition	1
proto-orthodox; Bardaisanite (heterodox)	1
proto-orthodox; Montanist influence	1
proto-orthodox; Montanist (Tertullian)	1
proto-orthodox; Donatist schism beginning	1
proto-orthodox; Donatist schism (311-312)	1
Donatist vs. proto-orthodox	1
Donatist (dominant); proto-orthodox	1
proto-orthodox; Arian-leaning	1
Arian (Eusebius); Nicene (majority at Nicaea)	1
Nicene vs. Arian contested	1
Arian (dominant under Constantius II)	1
proto-orthodox; anti-Montanist	1
Arian	1
Syriac proto-orthodox (under persecution)	1
proto-orthodox; Monarchian	1
