line	year_bucket	city_ancient	country_modern	location_precision
3094	0040	Emmaus	Palestinian Territories	approx_region
3095	0050	Emmaus	Palestinian Territories	approx_region
3096	0060	Emmaus	Palestinian Territories	approx_region
3097	0070	Emmaus	Palestinian Territories	approx_region
3098	0080	Emmaus	Palestinian Territories	approx_region
3099	0090	Emmaus	Palestinian Territories	approx_region
3100	0100	Emmaus	Palestinian Territories	approx_region
3101	0110	Emmaus	Palestinian Territories	approx_region
3102	0120	Emmaus	Palestinian Territories	approx_region
3103	0130	Emmaus	Palestinian Territories	approx_region
3104	0140	Emmaus	Palestinian Territories	approx_region
3105	0150	Emmaus	Palestinian Territories	approx_region
3106	0160	Emmaus	Palestinian Territories	approx_region
3107	0170	Emmaus	Palestinian Territories	approx_region
3108	0180	Emmaus	Palestinian Territories	approx_region
3109	0190	Emmaus	Palestinian Territories	approx_region
3110	0200	Emmaus	Palestinian Territories	approx_region
3111	0210	Emmaus	Palestinian Territories	approx_region
3112	0220	Emmaus	Palestinian Territories	approx_region
3113	0230	Emmaus	Palestinian Territories	approx_region
3114	0240	Emmaus	Palestinian Territories	approx_region
3115	0250	Emmaus	Palestinian Territories	approx_region
3116	0260	Emmaus	Palestinian Territories	approx_region
3117	0270	Emmaus	Palestinian Territories	approx_region
3118	0280	Emmaus	Palestinian Territories	approx_region
3119	0290	Emmaus	Palestinian Territories	approx_region
3120	0300	Emmaus	Palestinian Territories	approx_region
3121	0310	Emmaus	Palestinian Territories	approx_region
3122	0320	Emmaus	Palestinian Territories	approx_region
3123	0330	Emmaus	Palestinian Territories	approx_region
3124	0340	Emmaus	Palestinian Territories	approx_region
3125	0350	Emmaus	Palestinian Territories	approx_region
