url	domain	row_mentions	sample_contexts
https://www.newadvent.org/fathers/250106.htm	www.newadvent.org	608	0180@Jerusalem (Israel)#16 ; 0190@Jerusalem (Israel)#17 ; 0200@Jerusalem (Israel)#18 ; 0210@Jerusalem (Israel)#19 ; 0220@Jerusalem (Israel)#20 ; 0230@Jerusalem (Israel)#21 ; 0240@Jerusalem (Israel)#22 ; 0170@Antioch (Türkiye)#47
https://www.newadvent.org/fathers/250107.htm	www.newadvent.org	496	0250@Jerusalem (Israel)#23 ; 0260@Jerusalem (Israel)#24 ; 0270@Jerusalem (Israel)#25 ; 0280@Jerusalem (Israel)#26 ; 0290@Jerusalem (Israel)#27 ; 0260@Antioch (Türkiye)#56 ; 0270@Antioch (Türkiye)#57 ; 0280@Antioch (Türkiye)#58
https://www.newadvent.org/fathers/250104.htm	www.newadvent.org	438	0110@Jerusalem (Israel)#9 ; 0120@Jerusalem (Israel)#10 ; 0130@Jerusalem (Israel)#11 ; 0140@Jerusalem (Israel)#12 ; 0150@Jerusalem (Israel)#13 ; 0160@Jerusalem (Israel)#14 ; 0120@Antioch (Türkiye)#42 ; 0130@Antioch (Türkiye)#43
https://www.newadvent.org/fathers/250105.htm	www.newadvent.org	251	0170@Jerusalem (Israel)#15 ; 0160@Antioch (Türkiye)#46 ; 0170@Damascus (Syria)#79 ; 0170@Caesarea Maritima (Israel)#111 ; 0180@Caesarea Maritima (Israel)#112 ; 0160@Cyprus / Salamis (Cyprus)#160 ; 0170@Cyprus / Salamis (Cyprus)#161 ; 0180@Cyprus / Salamis (Cyprus)#162
https://www.newadvent.org/fathers/2602.htm	www.newadvent.org	199	0340@Antioch (Türkiye)#64 ; 0350@Antioch (Türkiye)#65 ; 0330@Damascus (Syria)#95 ; 0340@Damascus (Syria)#96 ; 0350@Damascus (Syria)#97 ; 0330@Caesarea Maritima (Israel)#127 ; 0340@Caesarea Maritima (Israel)#128 ; 0350@Caesarea Maritima (Israel)#129
https://www.newadvent.org/fathers/2501.htm	www.newadvent.org	138	0040@Jerusalem (Israel)#2 ; 0060@Damascus (Syria)#68 ; 0070@Damascus (Syria)#69 ; 0090@Damascus (Syria)#71 ; 0080@Caesarea Maritima (Israel)#102 ; 0090@Caesarea Maritima (Israel)#103 ; 0060@Joppa (Israel)#132 ; 0070@Joppa (Israel)#133
https://www.britannica.com/event/First-Council-of-Nicaea-325	www.britannica.com	119	0320@Jerusalem (Israel)#30 ; 0320@Antioch (Türkiye)#62 ; 0320@Damascus (Syria)#94 ; 0320@Cyprus / Salamis (Cyprus)#176 ; 0320@Tyre (Lebanon)#207 ; 0320@Philippi (Greece)#238 ; 0320@Thessalonica (Greece)#269 ; 0320@Corinth (Greece)#300
https://www.newadvent.org/fathers/250103.htm	www.newadvent.org	113	0070@Jerusalem (Israel)#5 ; 0080@Jerusalem (Israel)#6 ; 0090@Jerusalem (Israel)#7 ; 0100@Jerusalem (Israel)#8 ; 0070@Antioch (Türkiye)#37 ; 0060@Alexandria (Egypt)#338 ; 0070@Alexandria (Egypt)#339 ; 0080@Alexandria (Egypt)#340
https://www.newadvent.org/fathers/250108.htm	www.newadvent.org	91	0300@Jerusalem (Israel)#28 ; 0300@Damascus (Syria)#92 ; 0300@Caesarea Maritima (Israel)#124 ; 0300@Cyprus / Salamis (Cyprus)#174 ; 0300@Philippi (Greece)#236 ; 0300@Thessalonica (Greece)#267 ; 0300@Corinth (Greece)#298 ; 0300@Rome (Italy)#330
https://www.newadvent.org/fathers/250110.htm	www.newadvent.org	83	0310@Jerusalem (Israel)#29 ; 0310@Antioch (Türkiye)#61 ; 0310@Damascus (Syria)#93 ; 0310@Caesarea Maritima (Israel)#125 ; 0300@Tyre (Lebanon)#205 ; 0310@Tyre (Lebanon)#206 ; 0310@Rome (Italy)#331 ; 0310@Alexandria (Egypt)#363
https://www.newadvent.org/cathen/08756a.htm	www.newadvent.org	31	0040@Laodicea ad Mare (Syria)#1856 ; 0050@Laodicea ad Mare (Syria)#1857 ; 0060@Laodicea ad Mare (Syria)#1858 ; 0070@Laodicea ad Mare (Syria)#1859 ; 0080@Laodicea ad Mare (Syria)#1860 ; 0090@Laodicea ad Mare (Syria)#1861 ; 0100@Laodicea ad Mare (Syria)#1862 ; 0110@Laodicea ad Mare (Syria)#1863
