year_bucket	date_range	city_ancient	city_modern	country_modern	lat	lon	location_precision	ruling_empire_polity	ruling_subdivision	church_presence_status	church_planted_year_earliest_claim	church_planted_year_scholarly	church_planted_by	apostolic_origin_thread	key_figures	denomination_label_historic	modern_denom_mapping	council_context	evidence_notes_and_citations
0040	0040-0049	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	James the Just; Peter; John; Philip the Evangelist	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Jerusalem is founding locus; James the Just leads as first bishop; Acts 2-12 attest continuous community from Pentecost. Uncertainty: dates of individual apostolic departures vary. Evidence: Acts 2-12; Gal 1:18-19. Citations: https://biblehub.com/acts/2.htm ; https://www.newadvent.org/fathers/2501.htm
0050	0050-0059	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	James the Just; Peter; Paul; Barnabas	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Apostolic Council (~49 AD; Acts 15) under James decides Gentile admission; Paul's second Jerusalem visit confirmed by Gal 2. Uncertainty: council date debated 48-50 AD. Evidence: Acts 15; Gal 2:1-10. Citations: https://biblehub.com/acts/15.htm ; https://biblehub.com/galatians/2-1.htm
0060	0060-0069	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	James the Just; Simeon bar Cleophas; Paul	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Paul's final Jerusalem visit (~58 AD) and James' martyrdom (62 AD) mark transition; Simeon bar Cleophas succeeds as bishop. Evidence: Acts 21-24; Josephus, Ant. 20.9.1. Citations: https://biblehub.com/acts/21.htm
0070	0070-0079	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Simeon bar Cleophas	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Roman destruction of Jerusalem (70 AD) scatters community; church reportedly fled to Pella before siege; Simeon bar Cleophas leads in exile/return. Evidence: Eusebius, Ecc. Hist. 3.5; 3.11. Citations: https://www.newadvent.org/fathers/250103.htm
0080	0080-0089	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	probable	0030	0030	Jesus; Apostles	Jerusalem/James	Simeon bar Cleophas	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Reconstituted community under Simeon bar Cleophas post-70; Jewish-Christian character continues. Uncertainty: community size and exact composition after 70 unclear. Evidence: Eusebius, Ecc. Hist. 3.11-3.32. Citations: https://www.newadvent.org/fathers/250103.htm
0090	0090-0099	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	probable	0030	0030	Jesus; Apostles	Jerusalem/James	Simeon bar Cleophas; Justus I	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Simeon bar Cleophas continues as bishop; Eusebius records the Jerusalem episcopal succession list for this era. Evidence: Eusebius, Ecc. Hist. 3.32. Citations: https://www.newadvent.org/fathers/250103.htm
0100	0100-0109	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Simeon bar Cleophas; Justus I; Zacchaeus	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Simeon bar Cleophas martyred c.107 by governor Atticus; succession of Jewish-Christian bishops continues. Evidence: Eusebius, Ecc. Hist. 3.32; 4.5. Citations: https://www.newadvent.org/fathers/250103.htm
0110	0110-0119	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Justus I; Zacchaeus; Tobias	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Succession of Jewish-Christian bishops at Jerusalem continues; Eusebius records the full episcopal list. Evidence: Eusebius, Ecc. Hist. 4.5. Citations: https://www.newadvent.org/fathers/250104.htm
0120	0120-0129	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Judaea	attested	0030	0030	Jesus; Apostles	Jerusalem/James	John II; Matthias; Philip	Jewish Christianity / proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Jewish-Christian episcopate continues approaching Bar Kokhba revolt (132-135). Uncertainty: exact bishop sequence debated. Evidence: Eusebius, Ecc. Hist. 4.5. Citations: https://www.newadvent.org/fathers/250104.htm
0130	0130-0139	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Mark (first Gentile bishop); Cassianus	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Bar Kokhba revolt (132-135) leads Hadrian to raze Jerusalem, found Aelia Capitolina, and install first Gentile bishops; Jews including Jewish Christians barred from the city. Evidence: Eusebius, Ecc. Hist. 4.6; 4.12. Citations: https://www.newadvent.org/fathers/250104.htm
0140	0140-0149	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Cassianus; Publius; Maximus I	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Gentile bishops continue at Aelia Capitolina; church now Gentile in composition; community rebuilds under Roman colony status. Evidence: Eusebius, Ecc. Hist. 4.12. Citations: https://www.newadvent.org/fathers/250104.htm
0150	0150-0159	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Maximus I; Julian; Gaianus	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Gentile church at Aelia Capitolina develops; Justin Martyr references Jerusalem in his apologetic writings from Rome. Evidence: Eusebius, Ecc. Hist. 4.12. Citations: https://www.newadvent.org/fathers/250104.htm
0160	0160-0169	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Narcissus of Jerusalem; Capito	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Narcissus of Jerusalem emerges as celebrated bishop famous for Easter vigil miracle (water to oil). Uncertainty: dates of his episcopate vary slightly. Evidence: Eusebius, Ecc. Hist. 5.12; 6.9. Citations: https://www.newadvent.org/fathers/250104.htm
0170	0170-0179	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Narcissus of Jerusalem	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Narcissus leads; Jerusalem involved in Quartodeciman Easter controversy alongside other Eastern sees. Evidence: Eusebius, Ecc. Hist. 5.12; 5.23-5.25. Citations: https://www.newadvent.org/fathers/250105.htm
0180	0180-0189	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Narcissus of Jerusalem; Dius	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Narcissus faces controversy causing temporary retirement; subsequently restored as bishop. Evidence: Eusebius, Ecc. Hist. 6.9-6.11. Citations: https://www.newadvent.org/fathers/250106.htm
0190	0190-0199	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Narcissus of Jerusalem; Alexander of Jerusalem	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Alexander of Jerusalem joins the very elderly Narcissus as co-bishop c.212 (overlap decade). Evidence: Eusebius, Ecc. Hist. 6.10-6.11. Citations: https://www.newadvent.org/fathers/250106.htm
0200	0200-0209	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Alexander of Jerusalem; Origen (visiting)	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Origen visits Jerusalem c.215-216; Alexander and Narcissus invite him to preach, causing controversy with Demetrius of Alexandria. Evidence: Eusebius, Ecc. Hist. 6.11; 6.19. Citations: https://www.newadvent.org/fathers/250106.htm
0210	0210-0219	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Alexander of Jerusalem; Origen (visiting)	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Alexander leads; Origen preaches at Jerusalem and Caesarea by invitation of local bishops. Evidence: Eusebius, Ecc. Hist. 6.19. Citations: https://www.newadvent.org/fathers/250106.htm
0220	0220-0229	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Alexander of Jerusalem	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Alexander continues as bishop; involved in Palestinian synods active in this period. Evidence: Eusebius, Ecc. Hist. 6.19; 6.23. Citations: https://www.newadvent.org/fathers/250106.htm
0230	0230-0239	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Alexander of Jerusalem	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Alexander maintains close relations with Origen now settled permanently in Caesarea. Evidence: Eusebius, Ecc. Hist. 6.27-6.30. Citations: https://www.newadvent.org/fathers/250106.htm
0240	0240-0249	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Alexander of Jerusalem	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Alexander dies in prison during Decian persecution (~250); Mazabanes then Hymenaeus succeed. Evidence: Eusebius, Ecc. Hist. 6.39. Citations: https://www.newadvent.org/fathers/250106.htm
0250	0250-0259	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Mazabanes; Hymenaeus	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Decian persecution (249-251) kills Alexander; Mazabanes then Hymenaeus bishop; community recovers. Evidence: Eusebius, Ecc. Hist. 6.39; 7.14. Citations: https://www.newadvent.org/fathers/250107.htm
